,parameter,value
0,max df,0.011300946263089938
1,max df std,0.00019459146546767426
2,max df stderr,1.9459146546767425e-05
3,time of max df,330.7566666666667
4,time of max df std,9.88240355379197
5,time of max df stderr,0.9882403553791971
6,inverse max df,61.353522256146626
7,inverse max df std,1.0572126807791684
8,inverse max df stderr,0.10572126807791685
9,max y,0.1317203093132195
10,max y std,0.003189187557802215
11,max y stderr,0.0003189187557802215
12,lag time,237.8936134361867
13,lag time std,2.7347142512708333
14,lag time stderr,0.27347142512708333
