date,clock_time,elapsed_time_min,absorbance,atc_ngmL,iptg_mM,run_number
20180220,09h47m,50,0.09,0,0,1
20180220,09h47m,50,0.01,0,0,1
20180220,09h48m,51,0.01,0,0,1
20180220,10h45m,108,0.02,0,0,1
20180220,10h45m,108,0.02,0,0,1
20180220,10h45m,108,0.02,0,0,1
20180220,11h39m,162,0.04,0,0,1
20180220,11h40m,163,0.03,0,0,1
20180220,11h40m,163,0.03,0,0,1
20180220,12h49m,232,0.08,0,0,1
20180220,12h49m,232,0.08,0,0,1
20180220,12h50m,233,0.07,0,0,1
20180220,13h48m,291,0.17,0,0,1
20180220,13h49m,292,0.1,0,0,1
20180220,13h49m,292,0.14,0,0,1
20180220,14h10m,313,0.21,0,0,1
20180220,14h10m,313,0.19,0,0,1
20180220,14h10m,313,0.19,0,0,1
20180220,14h30m,323,0.25,0,0,1
20180220,14h31m,324,0.2,0,0,1
20180220,14h31m,324,0.21,0,0,1
20180220,14h59m,352,0.34,0,0,1
20180220,14h59m,352,0.27,0,0,1
20180220,15h00m,353,0.27,0,0,1
20180220,15h32m,385,0.34,0,0,1
20180220,15h32m,385,0.36,0,0,1
20180220,15h33m,386,0.33,0,0,1
20180220,15h52m,405,0.36,0,0,1
20180220,15h52m,405,0.36,0,0,1
20180220,15h53m,406,0.35,0,0,1
20180220,16h18m,431,0.4,0,0,1
20180220,16h19m,432,0.41,0,0,1
20180220,16h19m,432,0.4,0,0,1
20180220,16h47m,460,0.45,0,0,1
20180220,16h47m,460,0.45,0,0,1
20180220,16h48m,461,0.43,0,0,1
20180220,16h57m,470,0.46,0,0,1
20180220,16h57m,470,0.43,0,0,1
20180220,16h58m,471,0.44,0,0,1
20180220,17h30m,503,0.5,0,0,1
20180220,17h30m,503,0.5,0,0,1
20180220,17h30m,503,0.54,0,0,1
20180220,18h03m,536,0.54,0,0,1
20180220,18h03m,536,0.52,0,0,1
20180220,18h04m,537,0.53,0,0,1
20180220,18h41m,574,0.63,0,0,1
20180220,18h41m,574,0.61,0,0,1
20180220,18h42m,575,0.6,0,0,1
20180220,19h32m,625,0.68,0,0,1
20180220,19h33m,626,0.69,0,0,1
20180220,19h33m,626,0.71,0,0,1
20180220,20h17m,682,0.72,0,0,1
20180220,20h18m,683,0.72,0,0,1
20180220,20h19m,684,0.79,0,0,1
20180220,21h06m,730,0.75,0,0,1
20180220,21h07m,731,0.73,0,0,1
20180220,21h07m,731,0.8,0,0,1
