alpha,log_prob
672.1864996740995,-3863.466467590607
744.2785270999193,-3863.7971192590962
744.1179968247386,-3865.3507829558334
751.7549937277803,-3865.179799521337
736.0513788308396,-3865.0830882586124
599.1651095063925,-3867.577850719196
758.6279617489556,-3865.1577388287083
742.7966199151433,-3866.310424910615
684.724550941679,-3869.47748551524
723.4378812964584,-3867.6545842302226
726.1217843784514,-3864.778634222721
669.7671315122994,-3864.3778942845524
741.8810671702978,-3865.66383835178
719.1185948213308,-3865.492934698493
722.7123706646014,-3866.74893716716
732.6971172690002,-3866.45686230904
680.8004306429231,-3864.9764908046973
733.1716111790245,-3863.458833494157
635.9427966175617,-3865.054710409625
648.6729505088921,-3864.987047897972
700.2828440916732,-3863.6245853185983
700.2828440916732,-3863.6245853185983
645.261289134458,-3865.4343639109497
705.0752131706868,-3863.8039826240356
730.840374238493,-3863.3352768838367
658.340791191666,-3863.6222222533734
670.5490317596758,-3863.4780253654353
681.8485839712735,-3863.678905796737
744.9961596526397,-3863.9216110403418
669.2175568383747,-3863.7620230742023
755.7923947550534,-3863.859997009697
681.2970343497523,-3863.9548714795746
766.7025124505521,-3864.3851264626865
646.2504700007709,-3864.536419731489
589.5942944436423,-3867.0039916704973
589.5942944436423,-3867.0039916704973
768.7692478448096,-3866.1927946340747
776.761128600093,-3869.2191130085075
684.2510786531268,-3865.447538459277
696.7310860090583,-3864.453614456017
641.0886203146085,-3863.8578552932604
694.827569182413,-3863.6875143298766
680.8368586721153,-3863.191091913125
657.9572600166093,-3863.3481026632035
633.6878899227811,-3864.2001174882776
586.236566005359,-3866.256746552839
639.4150097967606,-3863.9776573128397
675.1722922788449,-3863.7872087612186
655.2952121500518,-3863.6095523312083
684.4950003563214,-3863.074332522653
688.7871478207637,-3863.2096899109933
737.6229371952031,-3863.5082091969534
723.0789249723845,-3864.338566878871
715.5359834364774,-3864.1653871451517
686.2289551926677,-3863.0785873014015
666.7717455434462,-3863.6390670673923
647.8937683241376,-3863.87185570868
675.2022159465994,-3864.180297526342
672.904134527071,-3863.790923331952
812.8023053622308,-3866.0141388995116
674.2159793990197,-3863.121714000848
638.9937744880651,-3863.779689887832
750.0115755235689,-3863.910294456881
705.8926160313499,-3863.503097611496
729.6865198441092,-3863.766974077933
710.2254555411453,-3863.1373199260697
731.5603262790212,-3864.7795706714764
758.5442722373004,-3866.690583645389
680.9211367790593,-3864.0336721569024
706.5401043486758,-3864.332378219633
659.8537473474391,-3865.7148412807005
742.1766908290471,-3865.0534215459825
746.5777650718878,-3864.5493616609897
664.5385309936313,-3864.2054369675175
661.8234976036675,-3866.0296701746474
685.9184215683022,-3865.0558964616066
805.6408693214322,-3867.917305908766
733.7952719247822,-3864.9856153568235
635.7201722485826,-3864.6460634199434
644.2655509194842,-3863.8614610992254
638.415115729016,-3864.0823909843575
624.0675850703215,-3864.463196054101
644.5124422763905,-3863.6317780084537
644.5124422763905,-3863.6317780084537
641.4110938102668,-3864.2507788459993
654.0616256468951,-3866.509756473155
687.5272861386188,-3864.3884930788327
687.5272861386188,-3864.3884930788327
698.3155414019498,-3863.1706567674105
621.1736507337077,-3867.5459191634054
643.6881019152818,-3864.0917650885144
643.6881019152818,-3864.0917650885144
759.4211462456826,-3864.604633471411
629.1010558658636,-3864.7912627555556
778.0383681468111,-3864.4042638859923
753.4382377111976,-3866.0569552942766
636.2252843857134,-3865.2630176417406
721.2559040254007,-3863.2809619969958
673.84928193068,-3863.99093958485
669.0088359217228,-3863.8815566183657
685.4594186299099,-3863.6682820113697
712.2175487466376,-3863.408335931667
716.3166451074422,-3863.265187456739
742.3612780667471,-3863.71809142583
656.9753346068366,-3863.6743095037523
714.1956180835721,-3865.1521668790015
657.7478343193451,-3865.1222375867383
652.090711480842,-3863.9623078519085
725.9403705071547,-3864.420185226895
666.9249402671779,-3863.3137159751745
712.3110051326364,-3863.183887254645
684.6847141707138,-3864.6155880589636
693.2336935346787,-3863.705689102295
760.2257955819508,-3864.5074490991396
673.6145366410667,-3864.9337646623544
704.713395406571,-3866.5579573857517
711.3997075106903,-3863.8375916947766
722.2282365848864,-3863.357254592427
703.2695184018902,-3864.8693197583784
755.8639494111201,-3867.534392936451
724.3165424783879,-3863.7667040600104
671.9166153444196,-3863.8275727177293
700.9054221968215,-3863.151466602531
679.7093976723559,-3863.78505466042
679.7093976723559,-3863.78505466042
702.7827036635282,-3864.391044689496
736.1391500880127,-3864.1525681036087
652.9420982471648,-3866.156196145324
700.5852938318274,-3866.0219188849783
697.6366042923449,-3866.3735013111796
692.6415034871346,-3866.4592239108947
661.3310350070585,-3866.489597364919
741.3190173628212,-3865.3741716601885
618.4450481894137,-3864.915451451648
618.461190355969,-3864.8434162098238
632.7413454554612,-3864.690742289752
647.9336239863853,-3863.7555114393413
696.0115224550615,-3863.6401100073176
668.5653949339264,-3864.2262481025327
668.5653949339264,-3864.2262481025327
711.0690091811105,-3864.2733536790497
719.2989375294293,-3864.012279956696
710.9418027048573,-3863.8837953346438
630.0861346457758,-3864.549938613206
702.4038554961593,-3863.50916504157
627.911562623372,-3864.7900714659854
659.8439819438203,-3863.818975961757
726.2297213951048,-3864.066642065641
687.8944751064556,-3863.7320631407865
662.797681438833,-3863.6860157641468
668.333697480045,-3863.8592622777196
739.061444776366,-3863.867563605517
711.0196574604149,-3863.8428849419593
711.0196574604149,-3863.8428849419593
713.4779253817582,-3863.6324280783942
630.233833080774,-3864.101868935614
679.6971019185075,-3865.1331452610925
699.8899744782079,-3865.3529415889498
683.9779945352597,-3864.039191295006
687.7674655390123,-3863.602936520733
691.005070901549,-3863.097549231957
657.551108406066,-3864.0114202608247
700.0863214580273,-3863.1874611136304
775.5326635632282,-3865.4862630837883
684.4332884574825,-3864.520452353547
651.0656960283427,-3863.617263148563
636.1374892518324,-3865.3548391131644
766.8532256304557,-3865.3722876725747
715.1724447952349,-3863.423272358122
729.8909750041698,-3864.022493975547
708.6641018322365,-3863.6915515041696
635.2440666624095,-3866.036445482335
652.9514980199167,-3865.005207720584
730.2314240188309,-3864.743981792482
676.4945220840519,-3864.338287120319
783.5126811747268,-3866.8502797323463
710.2965390047879,-3864.8280990966114
673.7766295128954,-3863.683528944657
653.4074474013626,-3864.900777883858
713.2692665173453,-3863.196415040931
638.7006942976095,-3863.804356932873
705.5948829729781,-3863.640124772052
682.7892414721579,-3863.7109999757636
720.1927855703957,-3863.3311256794673
719.283396734026,-3863.274640001769
626.7837711147914,-3864.2660217544335
729.6380761121371,-3864.0721512116193
718.3124937098287,-3864.7744601688814
676.0316415434626,-3863.3193508458344
754.2243519105085,-3864.1929687166876
727.0109300824718,-3863.2799245406054
743.6556937307041,-3864.028321502923
673.3825718090109,-3864.3890112633326
711.3337690835643,-3865.907561611195
701.8245616108261,-3864.727707204632
708.0310243956069,-3864.080452651362
731.0818500987831,-3863.360803882198
691.5738243024472,-3863.9338414085746
700.5718690136479,-3864.9306521588405
711.0463825506888,-3864.362578889121
665.5924636142466,-3864.1034106024044
643.7099146907558,-3864.196606431507
684.5874983018003,-3864.7001676651116
683.5320606888012,-3864.8028260608694
722.4691649137943,-3864.796420742402
716.4368184156746,-3864.76368942723
704.573013769905,-3864.099402415393
707.6795167470317,-3864.9954197116654
690.1840800922215,-3866.719456686509
648.9321735520191,-3864.842014532209
746.4533918032828,-3863.777300364605
752.5150784443481,-3864.263340910613
762.4018131075201,-3864.126404907739
647.8184037575412,-3863.962813376725
658.4359452830377,-3863.392833161932
763.4485391587338,-3864.0585180774005
667.0609748760759,-3863.5193749997343
685.0348299478349,-3863.8004627276728
702.1061674927408,-3863.5350741111038
682.442330016134,-3863.5431178559697
664.9344538552715,-3864.3504059996853
688.2544454310739,-3863.953510452215
621.2714089166087,-3866.2169270145764
621.2714089166087,-3866.2169270145764
783.9800504593513,-3866.543171169247
753.1507144924417,-3865.0364163512886
622.2517739300865,-3864.9441169027277
788.9607803596825,-3865.5662993501574
776.9157883108109,-3865.754440907465
682.0072679450457,-3863.358071587889
708.5702598779636,-3863.999525050912
669.69747302132,-3863.929159992869
699.6162964155496,-3863.7832619587293
722.8175582801878,-3864.6857213101584
699.7792818483931,-3864.7832743497074
654.4525590129543,-3865.8136680692
630.6727220081643,-3865.7962993428036
702.9495574885271,-3863.3503083397845
693.8906813154753,-3863.0432516312007
598.1021095648617,-3868.0661072328758
792.3202301329083,-3866.648341525045
782.4637058016791,-3865.928529410486
768.1948420702748,-3865.371882324589
683.8828169036015,-3863.727510643234
678.2674957601597,-3863.169745109786
713.1878297096837,-3863.2349828875167
670.2200854708268,-3864.0986968385155
716.1628155953956,-3864.222290191597
670.5106134175022,-3866.385808507585
634.3659798655358,-3864.469883863583
645.305666291232,-3864.026491537611
632.0697038258874,-3864.5310592299734
766.611086081865,-3866.2995640089694
709.8669410922193,-3863.639836458749
694.5561132172024,-3863.6644027086145
697.4842990447448,-3863.5834742860857
690.8531311280061,-3863.765622101724
689.2630874944424,-3864.2394246309536
690.0098841842874,-3863.7642278581366
743.2506456364415,-3865.6410245233837
644.6893882292571,-3866.1362964585824
669.3781715250196,-3865.5042725855915
664.7561623079127,-3864.34598180018
650.6466914846691,-3864.091432595009
684.6872266899423,-3863.1172067324765
636.5121109539368,-3864.0526247624693
753.3347217372464,-3863.9952128221566
