,parameter,value
0,max df,0.006269296085733936
1,max df std,4.817036384839119e-05
2,max df stderr,4.817036384839119e-06
3,time of max df,453.7466666666668
4,time of max df std,5.126753358608155
5,time of max df stderr,0.5126753358608155
6,inverse max df,110.56872857159115
7,inverse max df std,0.8494571481555792
8,inverse max df stderr,0.08494571481555792
9,max y,0.18957147231073435
10,max y std,0.0015164809728177974
11,max y stderr,0.00015164809728177974
12,lag time,314.56212679125144
13,lag time std,1.9307093661880814
14,lag time stderr,0.19307093661880814
