# Date : 20170810
# Equipment : MACSQuant (Björkman Lab)
# User : gchure
# growth medium: M9 + 0.5% glucose
# growth temperature: 37 C
# Description :
# A first pass at developing the experimental protocol for a dilution-titration
# experiment.
# All cells (save for the autofluorescence control) contained a YFP molecule
# regulated by an O2+11 simple repression architecture. These cells were grown
# in M9 + 0.5% glucose minimal medium at 37°C for 8 hours prior to dilution
# and measurement. Cells were incubated with the following concentrations
# 0 ng/mL, 2 ng/mL, 4 ng/mL, 6 ng/mL, 8 ng/mL, 10 ng/mL of ATC as well as
# 0, 0.1, 5, 10, 25, 50, 75, 100, 250, 500, 1000, 5000 mM IPTG.
# Comments : Snapshots of the cells with 0 IPTG concentration revealed the
# expected behavior. The growth movie itself didn't work as expected, meaning
# that I am unable to get to protein copy number from this experiment alone.
,atc_ngml,carbon,date,iptg_um,mean_YFP_H,operator,run_no,strain,temp,username,foldchange
0,0.0,glucose,20170810,0.0,5609.094088411533,O2,r1,auto,37,gchure,0.0
1,0.0,glucose,20170810,0.0,22393.41689459945,O2,r1,delta,37,gchure,1.0
2,0.0,glucose,20170810,0.0,16326.116286612998,O2,r1,dilution,37,gchure,0.6385138275730966
3,10.0,glucose,20170810,0.0,6296.532043098515,O2,r1,dilution,37,gchure,0.04095714570227057
4,4.0,glucose,20170810,0.0,9275.062530775953,O2,r1,dilution,37,gchure,0.2184162259446582
5,6.0,glucose,20170810,0.0,6426.696530961084,O2,r1,dilution,37,gchure,0.04871226870399104
6,8.0,glucose,20170810,0.0,6393.904810687379,O2,r1,dilution,37,gchure,0.04675855745496669
7,0.0,glucose,20170810,0.1,6651.158545741903,O2,r1,auto,37,gchure,0.0
8,0.0,glucose,20170810,0.1,19950.07253545891,O2,r1,delta,37,gchure,1.0
9,0.0,glucose,20170810,0.1,13915.418379431221,O2,r1,dilution,37,gchure,0.5462295522255571
10,10.0,glucose,20170810,0.1,6652.70135574162,O2,r1,dilution,37,gchure,0.00011601022466270533
11,2.0,glucose,20170810,0.1,6586.634008493084,O2,r1,dilution,37,gchure,-0.0048518651446810305
12,4.0,glucose,20170810,0.1,6790.048904105423,O2,r1,dilution,37,gchure,0.01044373686986118
13,6.0,glucose,20170810,0.1,6555.540134977248,O2,r1,dilution,37,gchure,-0.0071899412868290675
14,8.0,glucose,20170810,0.1,6551.7570773157895,O2,r1,dilution,37,gchure,-0.007474404940356259
15,0.0,glucose,20170810,5.0,6239.912985533927,O2,r1,auto,37,gchure,0.0
16,0.0,glucose,20170810,5.0,21026.998194195334,O2,r1,delta,37,gchure,1.0
17,0.0,glucose,20170810,5.0,15362.038610698644,O2,r1,dilution,37,gchure,0.6168981578480058
18,10.0,glucose,20170810,5.0,6829.127068344583,O2,r1,dilution,37,gchure,0.039846533275234575
19,2.0,glucose,20170810,5.0,6710.258768601425,O2,r1,dilution,37,gchure,0.03180787669986489
20,4.0,glucose,20170810,5.0,7388.285876628093,O2,r1,dilution,37,gchure,0.07766053112492494
21,6.0,glucose,20170810,5.0,6783.177324331477,O2,r1,dilution,37,gchure,0.03673910923833306
22,8.0,glucose,20170810,5.0,6768.052619469398,O2,r1,dilution,37,gchure,0.0357162771758506
23,0.0,glucose,20170810,10.0,6505.836205519516,O2,r1,auto,37,gchure,0.0
24,0.0,glucose,20170810,10.0,20698.097330775257,O2,r1,delta,37,gchure,1.0
25,0.0,glucose,20170810,10.0,16792.940275866156,O2,r1,dilution,37,gchure,0.7248389794660904
26,10.0,glucose,20170810,10.0,7097.777399442384,O2,r1,dilution,37,gchure,0.041708730462229414
27,2.0,glucose,20170810,10.0,9225.473639957729,O2,r1,dilution,37,gchure,0.19162819866656067
28,4.0,glucose,20170810,10.0,8262.392701234174,O2,r1,dilution,37,gchure,0.1237686144731927
29,6.0,glucose,20170810,10.0,6963.01724832253,O2,r1,dilution,37,gchure,0.0322134041058081
30,8.0,glucose,20170810,10.0,6723.5194391045425,O2,r1,dilution,37,gchure,0.015338164346317589
31,0.0,glucose,20170810,25.0,6605.772444558243,O2,r1,auto,37,gchure,0.0
32,0.0,glucose,20170810,25.0,21464.82645304296,O2,r1,delta,37,gchure,1.0
33,0.0,glucose,20170810,25.0,16989.789307466344,O2,r1,dilution,37,gchure,0.6988343172437956
34,10.0,glucose,20170810,25.0,9211.41472933724,O2,r1,dilution,37,gchure,0.17535721206014473
35,2.0,glucose,20170810,25.0,11976.590577551518,O2,r1,dilution,37,gchure,0.361450879034861
36,4.0,glucose,20170810,25.0,10969.76103727292,O2,r1,dilution,37,gchure,0.29369222227894065
37,6.0,glucose,20170810,25.0,9322.611792786462,O2,r1,dilution,37,gchure,0.18284066715666206
38,8.0,glucose,20170810,25.0,8624.645434008386,O2,r1,dilution,37,gchure,0.1358682045503933
39,0.0,glucose,20170810,50.0,6631.744343798253,O2,r1,auto,37,gchure,0.0
40,0.0,glucose,20170810,50.0,18947.429543222883,O2,r1,delta,37,gchure,1.0
41,0.0,glucose,20170810,50.0,16865.85981443061,O2,r1,dilution,37,gchure,0.8309822234747019
42,10.0,glucose,20170810,50.0,12479.82120928741,O2,r1,dilution,37,gchure,0.47484786845334187
43,2.0,glucose,20170810,50.0,13929.763279110286,O2,r1,dilution,37,gchure,0.5925792042535307
44,4.0,glucose,20170810,50.0,13069.85434837671,O2,r1,dilution,37,gchure,0.5227569477725231
45,6.0,glucose,20170810,50.0,12249.65467453219,O2,r1,dilution,37,gchure,0.4561589744918454
46,8.0,glucose,20170810,50.0,12124.26890177543,O2,r1,dilution,37,gchure,0.44597799221384604
47,0.0,glucose,20170810,75.0,6495.060123856352,O2,r1,auto,37,gchure,0.0
48,0.0,glucose,20170810,75.0,21911.65193738996,O2,r1,delta,37,gchure,1.0
49,0.0,glucose,20170810,75.0,17582.878289804186,O2,r1,dilution,37,gchure,0.7192133190044172
50,10.0,glucose,20170810,75.0,15308.490894670354,O2,r1,dilution,37,gchure,0.571684771667694
51,2.0,glucose,20170810,75.0,17901.71452976505,O2,r1,dilution,37,gchure,0.7398946890385495
52,4.0,glucose,20170810,75.0,15301.000698652531,O2,r1,dilution,37,gchure,0.5711989187562063
53,6.0,glucose,20170810,75.0,14926.676470101651,O2,r1,dilution,37,gchure,0.5469183103650394
54,8.0,glucose,20170810,75.0,15175.342034364468,O2,r1,dilution,37,gchure,0.563048046902821
55,0.0,glucose,20170810,100.0,6396.604625421858,O2,r1,auto,37,gchure,0.0
56,0.0,glucose,20170810,100.0,19955.45262130692,O2,r1,delta,37,gchure,1.0
57,0.0,glucose,20170810,100.0,15880.570966196328,O2,r1,dilution,37,gchure,0.6994669712097027
58,10.0,glucose,20170810,100.0,16370.061796387889,O2,r1,dilution,37,gchure,0.7355681820456169
59,2.0,glucose,20170810,100.0,16100.47050103814,O2,r1,dilution,37,gchure,0.7156851288960009
60,4.0,glucose,20170810,100.0,12220.85244045137,O2,r1,dilution,37,gchure,0.42955329367193273
61,6.0,glucose,20170810,100.0,14208.797534610081,O2,r1,dilution,37,gchure,0.5761693701086645
62,8.0,glucose,20170810,100.0,13412.161145709091,O2,r1,dilution,37,gchure,0.5174153823699746
63,0.0,glucose,20170810,250.0,6787.117700971123,O2,r1,auto,37,gchure,0.0
64,0.0,glucose,20170810,250.0,21433.104779689133,O2,r1,delta,37,gchure,1.0
65,0.0,glucose,20170810,250.0,17943.829897281266,O2,r1,dilution,37,gchure,0.7617589812380683
66,10.0,glucose,20170810,250.0,19948.85179718973,O2,r1,dilution,37,gchure,0.8986580437001641
67,2.0,glucose,20170810,250.0,17529.541047970564,O2,r1,dilution,37,gchure,0.7334721305748786
68,4.0,glucose,20170810,250.0,18239.95999953132,O2,r1,dilution,37,gchure,0.7819781785279769
69,6.0,glucose,20170810,250.0,17308.522470428285,O2,r1,dilution,37,gchure,0.7183814046064364
70,8.0,glucose,20170810,250.0,17814.071194270142,O2,r1,dilution,37,gchure,0.7528993050473337
71,0.0,glucose,20170810,500.0,6288.867206940786,O2,r1,auto,37,gchure,0.0
72,0.0,glucose,20170810,500.0,21322.493771753998,O2,r1,delta,37,gchure,1.0
73,0.0,glucose,20170810,500.0,17512.62525864168,O2,r1,dilution,37,gchure,0.7465768823851551
74,10.0,glucose,20170810,500.0,22673.16847239174,O2,r1,dilution,37,gchure,1.0898435713308887
75,2.0,glucose,20170810,500.0,17157.6635590504,O2,r1,dilution,37,gchure,0.7229656999428505
76,4.0,glucose,20170810,500.0,17367.28639302295,O2,r1,dilution,37,gchure,0.7369092971892515
77,6.0,glucose,20170810,500.0,18160.482288663698,O2,r1,dilution,37,gchure,0.7896707444834961
78,8.0,glucose,20170810,500.0,22217.20027937283,O2,r1,dilution,37,gchure,1.059513684456745
79,0.0,glucose,20170810,1000.0,48091.667199027506,O2,r1,auto,37,gchure,1.0
80,0.0,glucose,20170810,1000.0,5082.311557110344,O2,r1,delta,37,gchure,0.0
81,0.0,glucose,20170810,1000.0,95619.68966501264,O2,r1,dilution,37,gchure,2.105062416226112
82,10.0,glucose,20170810,1000.0,10256.417968757143,O2,r1,dilution,37,gchure,0.12030188163535482
83,2.0,glucose,20170810,1000.0,31927.14674652208,O2,r1,dilution,37,gchure,0.6241626917853335
84,4.0,glucose,20170810,1000.0,83452.66910536941,O2,r1,dilution,37,gchure,1.8221699994937581
85,6.0,glucose,20170810,1000.0,3614.827194940476,O2,r1,dilution,37,gchure,-0.03412011968716057
86,8.0,glucose,20170810,1000.0,11857.6367187625,O2,r1,dilution,37,gchure,0.15753142683795254
87,0.0,glucose,20170810,5000.0,5681.563808509194,O2,r1,auto,37,gchure,0.0
88,0.0,glucose,20170810,5000.0,22156.97709089476,O2,r1,delta,37,gchure,1.0
89,0.0,glucose,20170810,5000.0,18200.691904367926,O2,r1,dilution,37,gchure,0.7598673175162994
90,10.0,glucose,20170810,5000.0,23518.229268963543,O2,r1,dilution,37,gchure,1.082623249246448
91,2.0,glucose,20170810,5000.0,20266.359406325733,O2,r1,dilution,37,gchure,0.8852461147915267
92,4.0,glucose,20170810,5000.0,19019.97697352088,O2,r1,dilution,37,gchure,0.8095950575802697
93,6.0,glucose,20170810,5000.0,19585.791934953017,O2,r1,dilution,37,gchure,0.843938048055481
94,8.0,glucose,20170810,5000.0,22943.066160952734,O2,r1,dilution,37,gchure,1.047712858948334
