strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_hpd_min,alpha_hpd_max,fold_change
delta,555.0,606.3549549549549,181.16396396396397,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.5146928907041699
delta,458.0,686.7772925764192,181.06331877729258,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.6102944203357208
delta,452.0,157.40486725663717,167.8849557522124,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,-0.0189935996611995
delta,533.0,952.2138836772983,183.02251407129455,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.9258304378147227
delta,694.0,595.4798270893372,177.81123919308357,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.5017651533411331
delta,528.0,930.4829545454545,179.57386363636363,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.8999979374576997
delta,482.0,198.07261410788382,170.8734439834025,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.029349919324130353
delta,359.0,200.0891364902507,171.38718662952647,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.031747047161895164
delta,324.0,198.04012345679013,171.1172839506173,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.02931129627442615
delta,423.0,417.16312056737587,173.93617021276594,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.2897923307828145
delta,412.0,773.8495145631068,177.7621359223301,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.7138009566605689
delta,382.0,1300.6125654450261,184.33769633507853,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,1.3399870998031345
delta,466.0,917.8218884120172,177.42703862660943,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.8849471776200526
delta,481.0,1626.1746361746361,186.42203742203742,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,1.7269968892755927
delta,519.0,1623.2601156069363,181.1907514450867,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,1.7235322719484245
delta,328.0,1076.4451219512196,181.22560975609755,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,1.0735095125378469
delta,489.0,873.036809815951,186.61963190184048,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.8317092073610229
delta,633.0,1369.609794628752,189.75829383886256,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,1.4220071062514719
delta,422.0,1007.6895734597157,183.59241706161137,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.9917768024370438
delta,450.0,582.5555555555555,188.72444444444446,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.4864015097994754
delta,606.0,656.1287128712871,183.7128712871287,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.5738611209875168
delta,380.0,1140.7947368421053,185.81842105263158,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,1.1500046977900595
delta,447.0,601.082774049217,184.14093959731542,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.508425620018068
delta,728.0,1756.7376373626373,191.4436813186813,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,1.8822028058905746
delta,409.0,1964.1344743276284,191.75061124694378,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,2.128744443960377
delta,558.0,2528.722222222222,192.27598566308242,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,2.7998944491244875
delta,319.0,852.6112852664577,185.06896551724137,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.807428498192266
delta,425.0,1530.4305882352942,185.33882352941177,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,1.6131817763749867
delta,312.0,686.6602564102565,184.6698717948718,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.6101552943560703
delta,650.0,896.3661538461538,194.20153846153846,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.8594418130095414
delta,372.0,861.8870967741935,179.23387096774192,0.0,20181019,glycerol,37,O2,1,162.9784705246626,185.22524866447782,824.7850288635777,743.8916786310959,901.4965075836933,0.8184550586596754
