,parameter,value
0,max df,0.00380744579054015
1,max df std,4.3644640010780156e-05
2,max df stderr,4.364464001078016e-06
3,time of max df,776.4466666666666
4,time of max df std,15.587225538882794
5,time of max df stderr,1.5587225538882794
6,inverse max df,182.07442308004326
7,inverse max df std,2.0926414824967625
8,inverse max df stderr,0.20926414824967626
9,max y,0.35479961905289786
10,max y std,0.007575206179284989
11,max y stderr,0.0007575206179284989
12,lag time,401.8455153488337
13,lag time std,8.94317902331366
14,lag time stderr,0.8943179023313659
