clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date
09h26m,31,0.13,1,glucose,37,O2,20180912
09h26m,31,0.13,1,glucose,37,O2,20180912
09h26m,31,0.13,1,glucose,37,O2,20180912
09h54m,59,0.16,1,glucose,37,O2,20180912
09h54m,59,0.17,1,glucose,37,O2,20180912
09h54m,59,0.17,1,glucose,37,O2,20180912
10h23m,88,0.2,1,glucose,37,O2,20180912
10h23m,88,0.2,1,glucose,37,O2,20180912
10h23m,88,0.21,1,glucose,37,O2,20180912
10h53m,118,0.23,1,glucose,37,O2,20180912
10h53m,118,0.25,1,glucose,37,O2,20180912
10h53m,118,0.26,1,glucose,37,O2,20180912
11h22m,147,0.34,1,glucose,37,O2,20180912
11h22m,147,0.34,1,glucose,37,O2,20180912
11h22m,147,0.35,1,glucose,37,O2,20180912
11h53m,178,0.42,1,glucose,37,O2,20180912
11h53m,178,0.45,1,glucose,37,O2,20180912
11h53m,178,0.45,1,glucose,37,O2,20180912
12h22m,207,0.54,1,glucose,37,O2,20180912
12h22m,207,0.55,1,glucose,37,O2,20180912
12h22m,207,0.55,1,glucose,37,O2,20180912
12h36m,221,0.59,1,glucose,37,O2,20180912
12h36m,221,0.61,1,glucose,37,O2,20180912
12h36m,221,0.61,1,glucose,37,O2,20180912
12h53m,238,0.66,1,glucose,37,O2,20180912
12h54m,239,0.66,1,glucose,37,O2,20180912
12h54m,239,0.68,1,glucose,37,O2,20180912
13h07m,252,0.7,1,glucose,37,O2,20180912
13h08m,253,0.71,1,glucose,37,O2,20180912
13h08m,253,0.71,1,glucose,37,O2,20180912
13h22m,267,0.79,1,glucose,37,O2,20180912
13h23m,268,0.79,1,glucose,37,O2,20180912
13h23m,268,0.81,1,glucose,37,O2,20180912
13h38m,283,0.86,1,glucose,37,O2,20180912
13h38m,283,0.84,1,glucose,37,O2,20180912
13h39m,284,0.84,1,glucose,37,O2,20180912
