clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date
9h02m,17,0.1,1,glycerol,37,O2,20180918
9h02m,17,0.11,1,glycerol,37,O2,20180918
9h02m,17,0.11,1,glycerol,37,O2,20180918
9h31m,46,0.1,1,glycerol,37,O2,20180918
9h31m,46,0.1,1,glycerol,37,O2,20180918
9h32m,47,0.11,1,glycerol,37,O2,20180918
9h59m,74,0.11,1,glycerol,37,O2,20180918
9h59m,74,0.11,1,glycerol,37,O2,20180918
9h59m,74,0.12,1,glycerol,37,O2,20180918
10h29m,104,0.13,1,glycerol,37,O2,20180918
10h29m,104,0.13,1,glycerol,37,O2,20180918
10h29m,104,0.14,1,glycerol,37,O2,20180918
11h03m,138,0.15,1,glycerol,37,O2,20180918
11h03m,138,0.14,1,glycerol,37,O2,20180918
11h03m,138,0.14,1,glycerol,37,O2,20180918
11h30m,165,0.2,1,glycerol,37,O2,20180918
11h30m,165,0.2,1,glycerol,37,O2,20180918
11h30m,165,0.21,1,glycerol,37,O2,20180918
11h58m,193,0.21,1,glycerol,37,O2,20180918
11h58m,193,0.23,1,glycerol,37,O2,20180918
11h58m,193,0.23,1,glycerol,37,O2,20180918
12h38m,233,0.17,1,glycerol,37,O2,20180918
12h38m,233,0.18,1,glycerol,37,O2,20180918
12h38m,233,0.18,1,glycerol,37,O2,20180918
12h59m,254,0.28,1,glycerol,37,O2,20180918
12h59m,254,0.29,1,glycerol,37,O2,20180918
12h59m,254,0.3,1,glycerol,37,O2,20180918
13h28m,283,0.34,1,glycerol,37,O2,20180918
13h28m,283,0.35,1,glycerol,37,O2,20180918
13h28m,283,0.36,1,glycerol,37,O2,20180918
14h00m,315,0.42,1,glycerol,37,O2,20180918
14h00m,315,0.42,1,glycerol,37,O2,20180918
14h00m,315,0.4,1,glycerol,37,O2,20180918
14h29m,344,0.45,1,glycerol,37,O2,20180918
14h29m,344,0.46,1,glycerol,37,O2,20180918
14h29m,344,0.47,1,glycerol,37,O2,20180918
14h58m,373,0.49,1,glycerol,37,O2,20180918
14h58m,373,0.5,1,glycerol,37,O2,20180918
14h58m,373,0.51,1,glycerol,37,O2,20180918
15h40m,415,0.54,1,glycerol,37,O2,20180918
15h40m,415,0.57,1,glycerol,37,O2,20180918
15h40m,415,0.57,1,glycerol,37,O2,20180918
16h22m,457,0.58,1,glycerol,37,O2,20180918
16h22m,457,0.59,1,glycerol,37,O2,20180918
16h22m,457,0.59,1,glycerol,37,O2,20180918
16h33m,468,0.68,1,glycerol,37,O2,20180918
16h33m,468,0.68,1,glycerol,37,O2,20180918
16h33m,468,0.68,1,glycerol,37,O2,20180918
17h00m,495,0.72,1,glycerol,37,O2,20180918
17h00m,495,0.72,1,glycerol,37,O2,20180918
17h00m,495,0.73,1,glycerol,37,O2,20180918
17h29m,524,0.72,1,glycerol,37,O2,20180918
17h29m,524,0.75,1,glycerol,37,O2,20180918
17h29m,524,0.76,1,glycerol,37,O2,20180918
17h59m,554,0.81,1,glycerol,37,O2,20180918
17h59m,554,0.83,1,glycerol,37,O2,20180918
17h59m,554,0.84,1,glycerol,37,O2,20180918
