date,carbon,temp_C,operator,colony_idx,fractional_area,time_min,area
20181016,glycerol,37,O2,1,1.0,0,
20181016,glycerol,37,O2,1,1.0524193548387097,7,
20181016,glycerol,37,O2,1,1.1048387096774193,14,
20181016,glycerol,37,O2,1,1.1491935483870968,21,
20181016,glycerol,37,O2,1,1.1653225806451613,28,
20181016,glycerol,37,O2,1,1.0887096774193548,35,
20181016,glycerol,37,O2,1,1.064516129032258,42,
20181016,glycerol,37,O2,1,1.1330645161290323,49,
20181016,glycerol,37,O2,1,1.2379032258064515,56,
20181016,glycerol,37,O2,1,1.314516129032258,63,
20181016,glycerol,37,O2,1,1.5,70,
20181016,glycerol,37,O2,1,1.7258064516129032,77,
20181016,glycerol,37,O2,1,1.8870967741935485,84,
20181016,glycerol,37,O2,1,2.0766129032258065,91,
20181016,glycerol,37,O2,1,2.161290322580645,98,
20181016,glycerol,37,O2,1,2.4193548387096775,105,
20181016,glycerol,37,O2,1,2.850806451612903,112,
20181016,glycerol,37,O2,1,3.254032258064516,119,
20181016,glycerol,37,O2,1,3.7983870967741935,126,
20181016,glycerol,37,O2,1,4.19758064516129,133,
20181016,glycerol,37,O2,1,4.596774193548387,140,
20181016,glycerol,37,O2,1,4.995967741935484,147,
20181016,glycerol,37,O2,1,5.375,154,
20181016,glycerol,37,O2,1,5.669354838709677,161,
20181016,glycerol,37,O2,1,6.040322580645161,168,
20181016,glycerol,37,O2,1,6.358870967741935,175,
20181016,glycerol,37,O2,1,6.717741935483871,182,
20181016,glycerol,37,O2,1,7.020161290322581,189,
20181016,glycerol,37,O2,1,7.540322580645161,196,
20181016,glycerol,37,O2,1,8.024193548387096,203,
20181016,glycerol,37,O2,1,8.399193548387096,210,
20181016,glycerol,37,O2,1,8.870967741935484,217,
20181016,glycerol,37,O2,1,9.258064516129032,224,
20181016,glycerol,37,O2,1,9.725806451612904,231,
20181016,glycerol,37,O2,1,10.165322580645162,238,
20181016,glycerol,37,O2,1,10.653225806451612,245,
