strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_mean,alpha_median,alpha_hpd_min,alpha_hpd_max,fold_change
delta,740.0,1434.7648648648649,187.82837837837837,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.376060940897897
delta,492.0,1323.178861788618,203.4247967479675,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.2545596111197266
delta,647.0,995.2302936630603,191.3724884080371,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8974701372824461
delta,705.0,1240.6354609929078,201.21702127659574,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.164681555766867
delta,617.0,848.645056726094,220.35980551053484,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7378596061881494
delta,609.0,1168.9490968801313,187.04105090311987,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.0866252733788966
delta,430.0,945.0906976744186,205.4093023255814,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8428752291469024
delta,428.0,969.8971962616822,204.39018691588785,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8698859875072799
delta,676.0,815.7973372781065,198.32248520710058,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.7020930988925734
delta,485.0,1345.379381443299,198.43505154639175,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.2787328280595522
delta,818.0,796.5929095354523,205.39242053789732,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.6811822010735443
delta,600.0,925.4633333333334,197.30166666666668,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.821503813362317
delta,650.0,963.74,198.4953846153846,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.863181674126789
delta,680.0,677.6705882352941,197.14705882352942,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.5516926613469273
delta,603.0,996.3432835820895,191.70315091210614,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8986820254356523
delta,594.0,1475.1060606060605,191.53703703703704,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.4199867809877829
delta,806.0,1197.6823821339951,192.0694789081886,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.1179117454362788
delta,589.0,1042.320882852292,194.85059422750425,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.9487451094903817
delta,622.0,1506.501607717042,193.55305466237942,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.454172078587258
delta,770.0,938.7025974025973,183.33506493506493,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,0.8359194940512361
delta,548.0,1548.7554744525548,194.25912408759123,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.5001805460930473
delta,499.0,1313.1102204408817,187.63326653306612,0.0,20190104,glucose,37,O2,1,,,661.3864101869053,661.3864101869053,672.5321892796258,470.1945621550706,954.1787006948323,1.2435962888473668
