date,operator,carbon,temp,strain,atc_ngml,iptg_um,mean_fitc,fold_change
20180430,O2,glycerol,37,dilution,2.0,500.0,48376.78766094893,1.0616608489164232
20180430,O2,glycerol,37,dilution,4.0,1000.0,27870.74839062198,0.4709427322762591
20180430,O2,glycerol,37,dilution,4.0,0.0,5250.169208059157,-0.12705382612254112
20180430,O2,glycerol,37,delta,0.0,50.0,58337.66780819989,1.0
20180430,O2,glycerol,37,delta,0.0,100.0,53061.79564054188,1.0
20180430,O2,glycerol,37,dilution,1.0,0.0,15722.787607975868,0.1488085121480838
20180430,O2,glycerol,37,dilution,4.0,75.0,33546.25230613344,0.569908583066542
20180430,O2,glycerol,37,dilution,2.0,10.0,16028.82908347758,0.18740542682088834
20180430,O2,glycerol,37,dilution,10.0,5.0,7466.360349372204,0.08802324507992484
20180430,O2,glycerol,37,dilution,2.0,75.0,41723.51123657915,0.750289127750074
20180430,O2,glycerol,37,dilution,10.0,100.0,34698.90263132639,0.5718651569569747
20180430,O2,glycerol,37,dilution,4.0,10.0,10866.981628040436,0.08643737294123642
20180430,O2,glycerol,37,dilution,7.0,250.0,42117.510926077804,0.8696884811594823
20180430,O2,glycerol,37,dilution,4.0,500.0,50184.398404889136,1.1099252918222118
20180430,O2,glycerol,37,delta,0.0,5000.0,45505.93579270972,1.0
20180430,O2,glycerol,37,auto,0.0,0.0,10073.539609296815,0.0
20180430,O2,glycerol,37,dilution,7.0,5000.0,44520.07030283855,0.9772198460684188
20180430,O2,glycerol,37,dilution,3.0,500.0,45427.640771845516,0.9829166103533973
20180430,O2,glycerol,37,dilution,7.0,1000.0,47705.440760234575,0.8805834235827668
20180430,O2,glycerol,37,delta,0.0,1000.0,53487.55935180753,1.0
20180430,O2,glycerol,37,dilution,3.0,250.0,45725.38938160224,0.9695885563024753
20180430,O2,glycerol,37,dilution,10.0,50.0,25231.910404513015,0.34047535183731764
20180430,O2,glycerol,37,auto,0.0,5.0,2518.4861982605908,0.0
20180430,O2,glycerol,37,dilution,7.0,500.0,44873.36152681017,0.9681169754953091
20180430,O2,glycerol,37,dilution,4.0,250.0,46653.26690159691,0.9952809500772782
20180430,O2,glycerol,37,dilution,3.0,1000.0,48934.94493164462,0.905976050267124
20180430,O2,glycerol,37,dilution,7.0,50.0,25712.193755166707,0.35004343704967994
20180430,O2,glycerol,37,dilution,2.0,25.0,29124.62715342734,0.3849147223244244
20180430,O2,glycerol,37,dilution,3.0,5000.0,44931.51041560709,0.9867268926166445
20180430,O2,glycerol,37,dilution,10.0,0.1,5724.99924072697,-0.14968921618927106
