,parameter,value
0,max df,0.0034084270164855997
1,max df std,2.5139206131573813e-05
2,max df stderr,2.513920613157381e-06
3,time of max df,1030.1966666666665
4,time of max df std,20.654033504378877
5,time of max df stderr,2.0654033504378875
6,inverse max df,203.37383546298383
7,inverse max df std,1.499520955801924
8,inverse max df stderr,0.1499520955801924
9,max y,0.0908684980072423
10,max y std,0.0005541327727501436
11,max y stderr,5.541327727501436e-05
12,lag time,774.1483322483284
13,lag time std,3.3331640697744747
14,lag time stderr,0.33331640697744747
