I_1,I_2,area_1,area_2,bg_val,error_frame,fractional_birth_area,date,run_no,temp,carbon,operator
327.03521126760563,308.4836363636364,426.0,550.0,194.16841680863334,,0.441073512252042,20181005,2,37,glucose,O2
333.2577519379845,312.4075342465753,516.0,584.0,194.16841680863334,,0.46944444444444444,20181005,2,37,glucose,O2
281.1728624535316,278.49038461538464,538.0,520.0,194.16841680863334,,0.4758269720101781,20181005,2,37,glucose,O2
316.0375,331.4307692307692,480.0,455.0,194.16841680863334,,0.5405714285714286,20181005,2,37,glucose,O2
286.13363533408835,277.8090128755365,883.0,932.0,194.16841680863334,,0.4880450070323488,20181005,2,37,glucose,O2
293.73413897280966,302.68333333333334,331.0,300.0,194.16841680863334,,0.5245641838351822,20181005,2,37,glucose,O2
303.6975308641975,293.1929133858268,324.0,254.0,194.16841680863334,,0.5605536332179931,20181005,2,37,glucose,O2
316.54194407456725,338.2105263157895,751.0,684.0,194.16841680863334,,0.5233449477351917,20181005,2,37,glucose,O2
308.06451612903226,317.69072164948454,403.0,485.0,194.16841680863334,,0.45382882882882886,20181005,2,37,glucose,O2
307.9929078014184,303.7212837837838,564.0,592.0,191.38726058309808,,0.5408895265423243,20181005,2,37,glucose,O2
271.15986394557825,277.308,588.0,500.0,191.38726058309808,,0.5473251028806584,20181005,2,37,glucose,O2
288.76374745417513,291.3483412322275,491.0,422.0,191.38726058309808,,0.5483870967741935,20181005,2,37,glucose,O2
285.1047120418848,317.82608695652175,573.0,483.0,191.38726058309808,,0.49931224209078406,20181005,2,37,glucose,O2
226.1819526627219,231.99466666666666,676.0,750.0,191.38726058309808,,0.48419721871049304,20181005,2,37,glucose,O2
239.82704402515722,242.431643625192,636.0,651.0,191.38726058309808,,0.5435684647302904,20181005,2,37,glucose,O2
257.6686746987952,252.75219023779724,664.0,799.0,191.38726058309808,,0.4613466334164589,20181005,2,37,glucose,O2
260.46031746031747,250.93245778611632,567.0,533.0,191.38726058309808,,0.5066489361702128,20181005,2,37,glucose,O2
232.56822107081175,222.7945945945946,579.0,555.0,191.38726058309808,,0.5058823529411764,20181005,2,37,glucose,O2
300.42344497607655,314.08237986270024,418.0,437.0,191.38726058309808,,0.5130970724191063,20181005,2,37,glucose,O2
264.42857142857144,269.400269541779,721.0,742.0,191.38726058309808,,0.502851711026616,20181005,2,37,glucose,O2
240.08,246.95731707317074,325.0,328.0,191.38726058309808,,0.4893939393939394,20181005,2,37,glucose,O2
276.27868852459017,274.9430894308943,671.0,738.0,191.38726058309808,,0.48136315228966986,20181005,2,37,glucose,O2
294.77558348294434,285.60921501706486,557.0,586.0,191.38726058309808,,0.4907621247113164,20181005,2,37,glucose,O2
266.47457627118644,291.15629742033383,826.0,659.0,191.38726058309808,,0.54627539503386,20181005,2,37,glucose,O2
281.0729559748428,281.0683760683761,795.0,702.0,191.38726058309808,,0.5087900723888314,20181005,2,37,glucose,O2
249.652448657188,256.9642147117296,633.0,503.0,191.38726058309808,,0.5619047619047619,20181005,2,37,glucose,O2
292.1364829396326,285.8032786885246,381.0,427.0,191.38726058309808,,0.4715346534653465,20181005,2,37,glucose,O2
302.15945945945947,296.17847769028873,370.0,381.0,191.38726058309808,,0.48936170212765956,20181005,2,37,glucose,O2
281.82716049382714,304.840782122905,486.0,358.0,191.38726058309808,,0.5874125874125874,20181005,2,37,glucose,O2
278.1140939597315,268.1311827956989,447.0,465.0,191.38726058309808,,0.5018226002430134,20181005,2,37,glucose,O2
269.7645739910314,274.42013129102844,446.0,457.0,191.38726058309808,,0.5027563395810364,20181005,2,37,glucose,O2
211.8779527559055,206.15461346633415,508.0,401.0,191.38726058309808,,0.5432525951557093,20181005,2,37,glucose,O2
215.20108695652175,206.03685503685503,368.0,407.0,191.38726058309808,,0.47982708933717577,20181005,2,37,glucose,O2
244.78592375366568,255.07096774193548,341.0,310.0,191.38726058309808,,0.5117370892018779,20181005,2,37,glucose,O2
246.69040247678018,246.76392572944297,323.0,377.0,191.38726058309808,,0.4442836468885673,20181005,2,37,glucose,O2
