strain,area_pix,mean_yfp,mean_mCherry,fold_change,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_hpd_min,alpha_hpd_max,volume,long_axis_death,short_axis_death
dilution,768.0,2114.8216145833335,315.38671875,0.2361950226040432,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,7.760444439615482,3.5100000000000002,0.9238741173693195
dilution,960.0,1976.3635416666666,333.58125,-0.04057841443291132,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,10.168363498155145,4.355,0.930986845400453
dilution,533.0,2515.5497185741087,311.93245778611634,1.037238199953351,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,4.854178434102188,2.47,0.9107418618203771
dilution,983.0,2038.0233977619532,375.7527975584944,0.08267774491698665,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,9.966028548752382,4.745,0.8729323087239291
dilution,1141.0,2286.715162138475,398.6336546888694,0.5798049469595975,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,15.607194572476576,3.25,1.4819693607881281
dilution,761.0,2420.9369250985546,354.3508541392904,0.8481101304499045,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,7.386674183739067,3.705,0.8671462832899238
dilution,787.0,2290.2706480304955,369.08132147395173,0.5869122541027727,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,7.853297669837871,3.705,0.8969726301628176
dilution,671.0,2003.7540983606557,342.29061102831594,0.014174467496289363,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,6.503116186951383,3.12,0.9071917291307077
dilution,742.0,2494.7129380053907,361.9703504043127,0.9955861152947707,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,7.604067121061538,3.25,0.9634248013777102
dilution,757.0,2106.298546895641,343.0290620871863,0.2191576719582554,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,7.064954855864198,3.9000000000000004,0.8188241441413809
dilution,411.0,2701.1459854014597,408.2457420924574,1.4082394394545705,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,3.0994531987165654,2.47,0.7019971747282113
dilution,370.0,2609.145945945946,427.65945945945947,1.2243341850244924,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,2.6157867494032185,2.4050000000000002,0.6498253702019673
dilution,426.0,2884.244131455399,389.46713615023475,1.7742470122231415,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,3.1724386004303162,2.665,0.675226736360498
dilution,694.0,2648.479827089337,470.9409221902017,1.3029614058627574,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,5.950155228180767,3.9650000000000003,0.7385131092924024
dilution,485.0,3384.280412371134,382.27010309278353,2.77380418644093,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,3.7260463332490916,2.99,0.6841554047546372
dilution,371.0,2334.078167115903,401.4959568733154,0.674482139844485,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,2.66428613087863,2.34,0.6691735625938893
dilution,622.0,2425.8987138263665,443.475884244373,0.8580285937877139,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,5.159717945733541,3.64,0.7210090830918935
dilution,423.0,2319.789598108747,397.06382978723406,0.6459197290645056,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,3.2651175964113834,2.47,0.7230530273241053
dilution,613.0,2562.704730831974,430.8907014681892,1.1314996217773003,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,5.085778265015733,3.575,0.7234976189533057
dilution,488.0,2420.1495901639346,457.7295081967213,0.8465362720871262,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,3.8307668299868696,2.9250000000000003,0.7047362702907777
dilution,339.0,2415.637168141593,376.4159292035398,0.8375160789977975,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,2.2362526760260213,2.4050000000000002,0.5953811458201285
dilution,715.0,2444.620979020979,323.13566433566433,0.8954538271300055,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,6.829484013543788,3.5100000000000002,0.8604241532245901
dilution,709.0,2438.485190409027,349.6036671368124,0.8831885740661101,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,6.177234473804566,3.9650000000000003,0.7535626842677613
dilution,605.0,2481.7090909090907,400.69586776859506,0.9695918241730666,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,5.307251479756232,3.185,0.7979762712119787
dilution,946.0,2055.9418604651164,338.9334038054968,0.11849620175595926,4.0,20181005,glucose,37,O2,2,1646.9280944684954,196.09340740596213,502.2644720841288,448.25805182103403,564.8858549779943,9.519472037758497,4.615,0.8663187032157418
