,parameter,value
0,max df,0.012046468843437639
1,max df std,0.0001749081897201363
2,max df stderr,1.749081897201363e-05
3,time of max df,253.82666666666665
4,time of max df std,6.32174026673038
5,time of max df stderr,0.632174026673038
6,inverse max df,57.55167447137732
7,inverse max df std,0.8422176612087013
8,inverse max df stderr,0.08422176612087014
9,max y,0.16554380664569052
10,max y std,0.004168555937555832
11,max y stderr,0.00041685559375558316
12,lag time,97.06917913704247
13,lag time std,4.017385153380922
14,lag time stderr,0.40173851533809224
