parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,carbon,temp
epRA,1,-13.998476613610167,-13.991456718204542,-13.992402360903798,-14.229942289451456,-13.76019030073333,0.95,acetate,37
sigma,1,0.34839809048971265,0.3494045342152882,0.34631775898874645,0.26113394941718504,0.4455099004958581,0.95,acetate,37
epRA,1,-15.64255038671545,-15.635668257275002,-15.641978267019503,-15.941789704238426,-15.347863527171754,0.95,glucose,32
sigma,1,0.3063951904661975,0.3051450766888706,0.3042458304772705,0.2099459723860758,0.40767023668957025,0.95,glucose,32
epRA,1,-14.362019697164765,-14.351811356028962,-14.36225480305869,-14.689613225675789,-14.013717164565072,0.95,glucose,37
sigma,1,0.4576622113823742,0.46080765079785413,0.4564392401996462,0.3705061764695433,0.5443414851942909,0.95,glucose,37
epRA,1,-13.525203201454499,-13.52526250316648,-13.525312591153565,-13.689897535361062,-13.350488389074004,0.95,glucose,42
sigma,1,0.2399566212570362,0.2344989132484547,0.23767332218092757,0.1559704432964763,0.32712252658096813,0.95,glucose,42
epRA,1,-14.452737469285445,-14.44830418167662,-14.45151700819828,-14.623359792843665,-14.286978145987803,0.95,glycerol,37
sigma,1,0.38807320134163137,0.3867585075904261,0.3866387606802533,0.3104495522420685,0.47417229446402126,0.95,glycerol,37
