parameter,value,date,run_number,temp,carbon
max df,0.0073045802509860685,20190228,1,32.0,glucose
max df std,3.693463981654293e-05,20190228,1,32.0,glucose
max df stderr,3.693463981654294e-06,20190228,1,32.0,glucose
time of max df,589.7566666666668,20190228,1,32.0,glucose
time of max df std,16.195737093445302,20190228,1,32.0,glucose
time of max df stderr,1.6195737093445302,20190228,1,32.0,glucose
inverse max df,94.89455625113196,20190228,1,32.0,glucose
inverse max df std,0.4798028634800258,20190228,1,32.0,glucose
inverse max df stderr,0.047980286348002575,20190228,1,32.0,glucose
max y,0.15667176115554846,20190228,1,32.0,glucose
max y std,0.0008917054055073668,20190228,1,32.0,glucose
max y stderr,8.917054055073667e-05,20190228,1,32.0,glucose
lag time,416.2449545579774,20190228,1,32.0,glucose
lag time std,1.5658753428417305,20190228,1,32.0,glucose
lag time stderr,0.15658753428417305,20190228,1,32.0,glucose
max df,0.0035298087267417594,20190204,1,37.0,acetate
max df std,2.8364189565356398e-05,20190204,1,37.0,acetate
max df stderr,2.83641895653564e-06,20190204,1,37.0,acetate
time of max df,1138.2766666666666,20190204,1,37.0,acetate
time of max df std,9.742581793344103,20190204,1,37.0,acetate
time of max df stderr,0.9742581793344104,20190204,1,37.0,acetate
inverse max df,196.3823289343629,20190204,1,37.0,acetate
inverse max df std,1.5822709646762674,20190204,1,37.0,acetate
inverse max df stderr,0.15822709646762673,20190204,1,37.0,acetate
max y,0.12249647314351444,20190204,1,37.0,acetate
max y std,0.0009628533914931617,20190204,1,37.0,acetate
max y stderr,9.628533914931618e-05,20190204,1,37.0,acetate
lag time,845.6973059567633,20190204,1,37.0,acetate
lag time std,3.9771205279040434,20190204,1,37.0,acetate
lag time stderr,0.3977120527904043,20190204,1,37.0,acetate
max df,0.011300946263089938,20190204,1,37.0,glucose
max df std,0.00019459146546767423,20190204,1,37.0,glucose
max df stderr,1.9459146546767425e-05,20190204,1,37.0,glucose
time of max df,330.75666666666666,20190204,1,37.0,glucose
time of max df std,9.88240355379197,20190204,1,37.0,glucose
time of max df stderr,0.9882403553791972,20190204,1,37.0,glucose
inverse max df,61.35352225614663,20190204,1,37.0,glucose
inverse max df std,1.0572126807791684,20190204,1,37.0,glucose
inverse max df stderr,0.10572126807791683,20190204,1,37.0,glucose
max y,0.1317203093132195,20190204,1,37.0,glucose
max y std,0.003189187557802215,20190204,1,37.0,glucose
max y stderr,0.00031891875578022146,20190204,1,37.0,glucose
lag time,237.89361343618668,20190204,1,37.0,glucose
lag time std,2.7347142512708333,20190204,1,37.0,glucose
lag time stderr,0.2734714251270833,20190204,1,37.0,glucose
max df,0.006589137058954918,20190204,1,37.0,glycerol
max df std,3.45356679576391e-05,20190204,1,37.0,glycerol
max df stderr,3.453566795763909e-06,20190204,1,37.0,glycerol
time of max df,633.9266666666666,20190204,1,37.0,glycerol
time of max df std,5.411321465224552,20190204,1,37.0,glycerol
time of max df stderr,0.5411321465224552,20190204,1,37.0,glycerol
inverse max df,105.19832968819469,20190204,1,37.0,glycerol
inverse max df std,0.5510998139529671,20190204,1,37.0,glycerol
inverse max df stderr,0.05510998139529672,20190204,1,37.0,glycerol
max y,0.1506596177744111,20190204,1,37.0,glycerol
max y std,0.0010233748474771528,20190204,1,37.0,glycerol
max y stderr,0.00010233748474771528,20190204,1,37.0,glycerol
lag time,440.4163709941256,20190204,1,37.0,glycerol
lag time std,1.7540145643981766,20190204,1,37.0,glycerol
lag time stderr,0.17540145643981767,20190204,1,37.0,glycerol
max df,0.008135935417788186,20190213,1,42.0,glucose
max df std,4.6218434223787424e-05,20190213,1,42.0,glucose
max df stderr,4.621843422378742e-06,20190213,1,42.0,glucose
time of max df,506.3166666666667,20190213,1,42.0,glucose
time of max df std,4.9867323970712425,20190213,1,42.0,glucose
time of max df stderr,0.4986732397071242,20190213,1,42.0,glucose
inverse max df,85.19850531436548,20190213,1,42.0,glucose
inverse max df std,0.4837229238041602,20190213,1,42.0,glucose
inverse max df stderr,0.048372292380416015,20190213,1,42.0,glucose
max y,0.2325441204714755,20190213,1,42.0,glucose
max y std,0.00169156247827362,20190213,1,42.0,glucose
max y stderr,0.00016915624782736202,20190213,1,42.0,glucose
lag time,278.2669321331383,20190213,1,42.0,glucose
lag time std,1.3507329439765026,20190213,1,42.0,glucose
lag time stderr,0.13507329439765026,20190213,1,42.0,glucose
max df,0.003240255126492377,20190206,1,37.0,acetate
max df std,7.098424085657654e-05,20190206,1,37.0,acetate
max df stderr,7.098424085657654e-06,20190206,1,37.0,acetate
time of max df,1236.6266666666668,20190206,1,37.0,acetate
time of max df std,63.48486748824479,20190206,1,37.0,acetate
time of max df stderr,6.348486748824478,20190206,1,37.0,acetate
inverse max df,214.01761945887085,20190206,1,37.0,acetate
inverse max df std,4.573363980040615,20190206,1,37.0,acetate
inverse max df stderr,0.4573363980040615,20190206,1,37.0,acetate
max y,0.10264039841144326,20190206,1,37.0,acetate
max y std,0.0012051537802076349,20190206,1,37.0,acetate
max y stderr,0.0001205153780207635,20190206,1,37.0,acetate
lag time,781.5735014151344,20190206,1,37.0,acetate
lag time std,9.994228538771422,20190206,1,37.0,acetate
lag time stderr,0.999422853877142,20190206,1,37.0,acetate
max df,0.01034561417449241,20190206,1,37.0,glucose
max df std,0.00016944986978173756,20190206,1,37.0,glucose
max df stderr,1.6944986978173756e-05,20190206,1,37.0,glucose
time of max df,230.93666666666672,20190206,1,37.0,glucose
