parameter,dimension,meanmode,median,hpd_min,hpd_max,mass_fraction,mean,mode,atc_ngml,carbon
alpha_1,1,,540077.1311232147,148895.9196832211,786652.9584425326,0.95,534357.3064155264,651356.6299030574,0.0,acetate
avg_rep,1,,0.000504334998313821,1.064596638081728e-09,0.0062378062154981265,0.95,0.002103925076184033,0.002832930543815898,0.0,acetate
avg_rep,2,,0.0004998021157738592,3.376591303692349e-10,0.0050949260469579215,0.95,0.0015833164918834263,0.0003529905524065529,4.0,acetate
avg_rep,3,,0.0004418953341871599,1.045204099063551e-09,0.01097414140554437,0.95,0.002889552492735556,1.2729401616149572e-06,10.0,acetate
avg_rep,4,,0.03590823603313668,0.0020198806565787965,0.09043278150071214,0.95,0.04406191686167915,0.018060373869976085,7.0,acetate
avg_rep,5,,0.08344859336354782,3.0370507650071033e-07,0.20235794983888078,0.95,0.09947582993564269,0.08196441168096819,3.0,acetate
avg_rep,6,,0.13849677538545319,5.353961112446599e-06,0.3117106897667843,0.95,0.16761938249772776,0.13587307285825667,2.0,acetate
avg_rep,7,,0.18990898823904936,0.08609125321286726,0.401033594158071,0.95,0.22704982129185555,0.15765063757773265,1.0,acetate
avg_rep,8,,0.2504064366011892,0.030137661042060938,0.5570678812974709,0.95,0.29993002044268047,0.19703531472806762,0.4,acetate
avg_rep,9,,0.24511857596543854,0.08501397238521863,0.5745607216363838,0.95,0.2911910625058049,0.2232524044919524,0.7,acetate
fold_change,1,,0.00014398565756852834,1.3496191970288728e-09,0.3807997726658498,0.95,338.263619563236,0.15176998652273518,0.0,acetate
fold_change,2,,0.0001774061653634102,8.627168556188417e-10,0.29750881962208137,0.95,12.784440092233313,0.00013572139630529362,4.0,acetate
fold_change,3,,0.00016506781856180628,9.514219891932245e-10,0.24238295899878382,0.95,33.91297986765305,0.00022398047481296575,10.0,acetate
fold_change,4,,0.04801651570161375,0.0009257265124105315,63.56500150225852,0.95,1379.7466675626285,0.04855286051908572,7.0,acetate
fold_change,5,,0.0228598372414801,0.00025732418593194916,24.695468019040835,0.95,535.3185330496061,0.02097868039576803,3.0,acetate
fold_change,6,,0.02385757960927666,0.0021937534281228715,28.19141929566204,0.95,427.37230980786234,0.023504909069644645,2.0,acetate
fold_change,7,,0.021076320906016462,0.00133674639187664,21.723149316499594,0.95,410.8187210727324,0.019424917242490763,1.0,acetate
fold_change,8,,0.021252761458315138,0.0005260195114390657,25.67755500593407,0.95,254.79475622107182,0.02040720971638341,0.4,acetate
fold_change,9,,0.025530677124781975,0.003746423355533836,28.359840207324137,0.95,580.0122051700797,0.023684063343445312,0.7,acetate
alpha_1,1,,424298.06239099975,1791.2276180741771,875966.1717907017,0.95,443391.13819026004,12444.856805672305,0.0,glucose
avg_rep,1,,0.0005061337241596344,5.091688433512451e-10,0.025546807252297483,0.95,0.007806837196046514,0.001196880104721193,0.0,glucose
avg_rep,2,,0.003930309794001064,8.821733610230767e-09,0.039198643956011504,0.95,0.01233725420623648,0.0014099005176950665,4.0,glucose
avg_rep,3,,0.014795221625621312,3.372280503817457e-08,0.12969637409360008,0.95,0.04283327530514886,0.6347748233535663,7.0,glucose
avg_rep,4,,0.01949624362040487,1.908634961294582e-08,0.1915691117402538,0.95,0.05788131729037845,0.9616756412722257,3.0,glucose
avg_rep,5,,0.03495538349838498,6.131100953887794e-09,0.4297209648028138,0.95,0.13511408640539105,2.2176395978889842,2.0,glucose
avg_rep,6,,0.10695884514275072,0.0032753563314637827,0.9149304160392683,0.95,0.3151073481641788,4.184388185161896,1.0,glucose
avg_rep,7,,0.06279759185837701,1.4711266048402249e-08,0.6349828457553471,0.95,0.2204611876129698,3.783867254271243,10.0,glucose
avg_rep,8,,0.14034509672139267,5.6945668747756674e-06,1.286261871655883,0.95,0.4505323645530067,6.864614583516239,0.4,glucose
avg_rep,9,,0.18371571993971086,1.5133059182334974e-05,1.521038353331102,0.95,0.5046285940068432,6.970294502330594,0.7,glucose
avg_rep,10,,0.2803042350427113,0.00011822317314228055,2.4311475742554784,0.95,0.7988285910800599,8.883031837681871,0.2,glucose
avg_rep,11,,0.26682671636142247,7.626468737548509e-08,2.2793185240637945,0.95,0.7507319193050481,11.256803179524645,0.3,glucose
fold_change,1,,8.675865440088432e-05,1.5887123111748557e-09,0.6218737661143346,0.95,49.56698724795787,0.0003654692527702741,0.0,glucose
fold_change,2,,0.013434680945823209,2.2991523304569956e-10,61.887663092413945,0.95,2646.2269050578816,2.17345064548207e-05,4.0,glucose
fold_change,3,,0.06331070720565828,2.6586149339546523e-10,28.164460906177872,0.95,759.859610034557,0.11390238885877886,7.0,glucose
fold_change,4,,0.038015179182025675,6.091638583053419e-09,22.378542832154753,0.95,339.4568914207237,0.05239110051089124,3.0,glucose
fold_change,5,,0.027255646335574105,9.769057455864837e-09,42.19958430678684,0.95,248.10695302629665,0.02713141836493065,2.0,glucose
fold_change,6,,0.03693280405147433,0.002092853692922392,81.9306454356408,0.95,478.17060558935935,0.02426713559865337,1.0,glucose
fold_change,7,,0.024168456274731076,0.00022630718407713472,61.98381087706878,0.95,307.91588940502123,0.021514683496107967,10.0,glucose
fold_change,8,,0.017158859492524717,0.00023789670077761508,49.66413638628425,0.95,247.3511476909248,0.013078333839240926,0.4,glucose
fold_change,9,,0.01747967856792644,0.0013122079917013676,47.728325770828945,0.95,243.62082940983237,0.012027458183930943,0.7,glucose
fold_change,10,,0.014435635727662736,8.210784710748784e-05,38.71217444992012,0.95,205.71961982635207,0.01416830307692985,0.2,glucose
fold_change,11,,0.0175117876176151,1.1565752215539243e-05,40.636191110864154,0.95,312.3730827843898,0.013931063584546995,0.3,glucose
