parameter,dimension,meanmode,median,hpd_min,hpd_max,mass_fraction,mean,mode,atc_ngml,carbon
alpha_1,1,,673632.6988016621,219919.3284173929,1142797.901233041,0.95,678414.5554331008,525117.5770848601,0.0,glycerol
avg_rep,1,,0.002264291433477702,2.504613687966962e-09,0.029686498399439768,0.95,0.00738128867684646,0.025307761357435447,0.0,glycerol
avg_rep,2,,0.0013001568256054098,1.6651529896915386e-09,0.025099868496810885,0.95,0.006301933845072495,0.028561285745633592,4.0,glycerol
avg_rep,3,,0.0047319787023989805,2.851424385518155e-09,0.05706867284121047,0.95,0.015257662715872939,0.02144665963876335,10.0,glycerol
avg_rep,4,,0.007523949183948624,2.156515986099757e-09,0.09055940337644862,0.95,0.029291221059518993,0.018593706726218937,7.0,glycerol
avg_rep,5,,4.626515638539532e-05,1.9201234792745898e-10,0.05014409610187709,0.95,0.010827592440721949,0.0016482528171069162,3.0,glycerol
avg_rep,6,,0.0346527993954439,2.115237819237765e-06,0.13393073300108954,0.95,0.051297606429712206,0.03943856143689642,2.0,glycerol
avg_rep,7,,0.1394620156092014,0.00012884974613009271,0.3451438070683422,0.95,0.17017643689890788,0.16806723272588053,1.0,glycerol
avg_rep,8,,0.17363850797275768,0.04351300296276132,0.4126786218165989,0.95,0.2129316664392847,0.19541914025967375,0.4,glycerol
avg_rep,9,,0.19009338251722957,0.06386363328490446,0.4502962760508902,0.95,0.2337564390488478,0.2468718883750037,0.2,glycerol
avg_rep,10,,0.23041625194665383,0.06985899873267024,0.513448409128546,0.95,0.28032704932943964,0.3098305196255001,0.3,glycerol
avg_rep,11,,0.21808619668321094,0.04137475118494672,0.49979722840293406,0.95,0.2650279210152668,0.28532607030671664,0.1,glycerol
fold_change,1,,0.0014107610924880094,2.676317042252395e-09,0.09629052587987147,0.95,0.019614818058105943,0.0391126652094899,0.0,glycerol
fold_change,2,,0.010400325534558113,1.7479185928831982e-09,0.09217483626353225,0.95,0.02661436686545044,0.00232658482939272,4.0,glycerol
fold_change,3,,0.008476415183273394,1.3766374067753897e-08,0.049641036601055843,0.95,0.015434992159819173,0.026278861244060245,10.0,glycerol
fold_change,4,,0.012675000326954598,1.4985681042189206e-08,0.04193821059173778,0.95,0.016291574351172025,0.024775173407363214,7.0,glycerol
fold_change,5,,0.0003583374353860952,9.830378567557918e-10,0.018150367674965057,0.95,0.004379893491428472,0.0026805990095485075,3.0,glycerol
fold_change,6,,0.021600564232944777,0.0053939755727439925,0.043513692854137476,0.95,0.02272734369590137,0.019448250622361277,2.0,glycerol
fold_change,7,,0.013348256582497784,0.005219462363370575,0.021186336424404144,0.95,0.0134890710838848,0.01609606568568773,1.0,glycerol
fold_change,8,,0.013709071095467904,0.0033176787131308314,0.025099802724897743,0.95,0.014084411589117211,0.012506241625620465,0.4,glycerol
fold_change,9,,0.013265154892566262,0.0042567635625253945,0.020550626037822272,0.95,0.013437526576580072,0.012065842434345126,0.2,glycerol
fold_change,10,,0.01234941134559426,0.006658420750261529,0.019034429553369415,0.95,0.012368483223389312,0.010749717576128848,0.3,glycerol
fold_change,11,,0.013581141004729977,0.009449968421315201,0.01722899264006736,0.95,0.013524470451490038,0.0133342666786193,0.1,glycerol
