value,parameter,carbon,temp
-14.098720425378147,epRA,acetate,37
-14.13127494723252,epRA,acetate,37
-14.120897321569748,epRA,acetate,37
-14.142162629453882,epRA,acetate,37
-14.121142834935805,epRA,acetate,37
-14.293161742121884,epRA,acetate,37
-14.365961395725988,epRA,acetate,37
-14.051924133150077,epRA,acetate,37
-14.156595017693975,epRA,acetate,37
-14.156593198791294,epRA,acetate,37
-14.132952826304509,epRA,acetate,37
-13.941679408783635,epRA,acetate,37
-14.241979782992095,epRA,acetate,37
-14.294704707696889,epRA,acetate,37
-13.877724461405196,epRA,acetate,37
-14.363476600245829,epRA,acetate,37
-13.972300237978509,epRA,acetate,37
-13.979987013188458,epRA,acetate,37
-14.008809473068046,epRA,acetate,37
-14.141843351129774,epRA,acetate,37
-14.013656502753397,epRA,acetate,37
-14.073421911352757,epRA,acetate,37
-14.386534776396962,epRA,acetate,37
-14.459599420627885,epRA,acetate,37
-14.075364276638703,epRA,acetate,37
-14.027265782992648,epRA,acetate,37
-14.10287343217867,epRA,acetate,37
-13.999268765032221,epRA,acetate,37
-13.982458702909373,epRA,acetate,37
-13.994292044562314,epRA,acetate,37
-14.130662174621984,epRA,acetate,37
-14.211802209412356,epRA,acetate,37
-14.191000395188023,epRA,acetate,37
-14.085245692547161,epRA,acetate,37
-14.122810707180285,epRA,acetate,37
-14.132377455626791,epRA,acetate,37
-14.174935075559217,epRA,acetate,37
-14.126207687766618,epRA,acetate,37
-14.150343251131233,epRA,acetate,37
-14.240493779927139,epRA,acetate,37
-14.29494976693573,epRA,acetate,37
-14.236594016675706,epRA,acetate,37
-14.020221913710682,epRA,acetate,37
-14.175659734706713,epRA,acetate,37
-14.166065207381104,epRA,acetate,37
-14.109857778873883,epRA,acetate,37
-14.017411517629677,epRA,acetate,37
-14.079591693914972,epRA,acetate,37
-13.997116286086829,epRA,acetate,37
-13.909859362773197,epRA,acetate,37
-13.972106136529918,epRA,acetate,37
-14.155530824525963,epRA,acetate,37
-14.205530696750245,epRA,acetate,37
-14.138326530278873,epRA,acetate,37
-14.249623351620595,epRA,acetate,37
-14.150924345916065,epRA,acetate,37
-13.9704518428076,epRA,acetate,37
-14.28976464840198,epRA,acetate,37
-14.107507664719467,epRA,acetate,37
-14.18009377746736,epRA,acetate,37
-14.261638278942554,epRA,acetate,37
-14.301567449394678,epRA,acetate,37
-14.030362888194283,epRA,acetate,37
-14.170000477758505,epRA,acetate,37
-14.050143608951464,epRA,acetate,37
-14.067933435300958,epRA,acetate,37
-14.077960550490692,epRA,acetate,37
-14.02285664406626,epRA,acetate,37
-13.98006736757697,epRA,acetate,37
-14.02764674822863,epRA,acetate,37
-14.0171056873446,epRA,acetate,37
-14.18172963066706,epRA,acetate,37
-14.102371606614783,epRA,acetate,37
-14.199208597349903,epRA,acetate,37
-14.243538209147372,epRA,acetate,37
-14.139310078881648,epRA,acetate,37
-14.078973526056432,epRA,acetate,37
-14.170734359912647,epRA,acetate,37
-14.296925657571528,epRA,acetate,37
-14.316629277253588,epRA,acetate,37
-14.126448054814807,epRA,acetate,37
-14.133648886391043,epRA,acetate,37
-14.099469966463126,epRA,acetate,37
-13.908322509713567,epRA,acetate,37
-14.026079319511616,epRA,acetate,37
-14.044814622272149,epRA,acetate,37
-14.03763185363106,epRA,acetate,37
-14.074739575293286,epRA,acetate,37
-14.118391751674146,epRA,acetate,37
-14.182248800138089,epRA,acetate,37
-14.327666072268288,epRA,acetate,37
-14.054330576397406,epRA,acetate,37
-14.040395258030001,epRA,acetate,37
-14.102659934461535,epRA,acetate,37
-14.184207807829894,epRA,acetate,37
-14.074061212907635,epRA,acetate,37
-14.169070537547475,epRA,acetate,37
-14.121536117136019,epRA,acetate,37
-14.24522480873301,epRA,acetate,37
-14.122392993774277,epRA,acetate,37
-14.124554676163795,epRA,acetate,37
-14.090540353548299,epRA,acetate,37
-14.035899359050681,epRA,acetate,37
-14.10380301439903,epRA,acetate,37
-14.092166943959626,epRA,acetate,37
-14.181761825321297,epRA,acetate,37
-14.041437104556918,epRA,acetate,37
-14.148947747384522,epRA,acetate,37
-14.28790196170248,epRA,acetate,37
-13.995858831967341,epRA,acetate,37
-13.992748531441373,epRA,acetate,37
-14.264287163672508,epRA,acetate,37
-14.143355964650771,epRA,acetate,37
-14.056090294203697,epRA,acetate,37
-14.288072694635112,epRA,acetate,37
-14.082089549842877,epRA,acetate,37
-14.033457538250596,epRA,acetate,37
-14.056907704220476,epRA,acetate,37
-14.054701998835647,epRA,acetate,37
-14.087823492103587,epRA,acetate,37
-14.076576881127226,epRA,acetate,37
-14.157676833536478,epRA,acetate,37
-14.016943935277087,epRA,acetate,37
-13.95334194715943,epRA,acetate,37
-14.159748316074598,epRA,acetate,37
-13.944714810653673,epRA,acetate,37
-14.04706481205852,epRA,acetate,37
-14.214515013461018,epRA,acetate,37
-14.104427494649542,epRA,acetate,37
-14.128300535799974,epRA,acetate,37
-14.246066563991887,epRA,acetate,37
-14.352781508843844,epRA,acetate,37
-14.293174611052532,epRA,acetate,37
-14.306312152764047,epRA,acetate,37
-14.276098075515417,epRA,acetate,37
-14.301924253185469,epRA,acetate,37
-14.091132163721555,epRA,acetate,37
-14.204567495251085,epRA,acetate,37
-14.284331251056587,epRA,acetate,37
-14.296641605598058,epRA,acetate,37
-13.982906142774906,epRA,acetate,37
-14.044128896333804,epRA,acetate,37
-14.22030502444055,epRA,acetate,37
-14.142045479514644,epRA,acetate,37
-14.05684020899804,epRA,acetate,37
-14.1209270349358,epRA,acetate,37
-13.914390771401122,epRA,acetate,37
-14.027713432108461,epRA,acetate,37
-14.13505631616709,epRA,acetate,37
-14.14956688601312,epRA,acetate,37
-14.406943267831986,epRA,acetate,37
-14.174402936430447,epRA,acetate,37
-14.145054689161507,epRA,acetate,37
-14.276389205199912,epRA,acetate,37
-14.275409456863965,epRA,acetate,37
-14.13554285152741,epRA,acetate,37
-14.166908183614394,epRA,acetate,37
-14.212576201681374,epRA,acetate,37
-14.15973069285386,epRA,acetate,37
-14.105441621384692,epRA,acetate,37
-14.145053956395456,epRA,acetate,37
-13.86230449424598,epRA,acetate,37
-14.452388365800692,epRA,acetate,37
-13.781007303521971,epRA,acetate,37
-14.031056056889629,epRA,acetate,37
-13.97253298749269,epRA,acetate,37
-14.167149626124738,epRA,acetate,37
-14.030233808209696,epRA,acetate,37
-14.044100389909614,epRA,acetate,37
-14.040365535384685,epRA,acetate,37
-14.183897353203985,epRA,acetate,37
-14.225410073289796,epRA,acetate,37
-14.117744660999803,epRA,acetate,37
-14.1174703299202,epRA,acetate,37
-14.065894010041744,epRA,acetate,37
-14.082053505423483,epRA,acetate,37
-13.967648103353666,epRA,acetate,37
-14.073485636976665,epRA,acetate,37
-14.212271165898462,epRA,acetate,37
-13.988507833637541,epRA,acetate,37
-13.95682598292476,epRA,acetate,37
-14.059942386235985,epRA,acetate,37
-14.230843611675416,epRA,acetate,37
-14.282498433482795,epRA,acetate,37
-14.238498376171382,epRA,acetate,37
-14.103162372301785,epRA,acetate,37
-14.256552478000767,epRA,acetate,37
-13.967462763029191,epRA,acetate,37
-14.279332718372732,epRA,acetate,37
-14.263141892395254,epRA,acetate,37
-13.936094751736931,epRA,acetate,37
-13.958014458826533,epRA,acetate,37
-13.992928055406084,epRA,acetate,37
-14.004172937974856,epRA,acetate,37
-14.042763165862683,epRA,acetate,37
-14.161026145165257,epRA,acetate,37
-14.284681373465641,epRA,acetate,37
-14.374761311616211,epRA,acetate,37
-14.41866788481027,epRA,acetate,37
-14.389855462503947,epRA,acetate,37
-14.368672012894807,epRA,acetate,37
-14.35131943705742,epRA,acetate,37
-14.380539519616496,epRA,acetate,37
-14.420304520617302,epRA,acetate,37
-13.990584730522782,epRA,acetate,37
-13.943024856133828,epRA,acetate,37
-14.228359332362423,epRA,acetate,37
-14.244784361702482,epRA,acetate,37
-14.264161337370888,epRA,acetate,37
-14.13984859246794,epRA,acetate,37
-14.172198621489823,epRA,acetate,37
-14.236126012156792,epRA,acetate,37
-14.105301798917276,epRA,acetate,37
-14.151520387437737,epRA,acetate,37
-14.163456876348176,epRA,acetate,37
-14.352695335349761,epRA,acetate,37
-14.372760175590255,epRA,acetate,37
-14.368893505545755,epRA,acetate,37
-13.839894538388297,epRA,acetate,37
-14.101623657809032,epRA,acetate,37
-14.417041315382937,epRA,acetate,37
-14.331327008684552,epRA,acetate,37
-14.408904122501626,epRA,acetate,37
-14.247999666082947,epRA,acetate,37
-14.15813366656844,epRA,acetate,37
-14.281676601800122,epRA,acetate,37
-14.320103179179732,epRA,acetate,37
-14.317645402384484,epRA,acetate,37
-13.962076525659832,epRA,acetate,37
-14.117847864927851,epRA,acetate,37
-14.039733823345472,epRA,acetate,37
-13.957858830281134,epRA,acetate,37
-13.899384136241752,epRA,acetate,37
-14.11212188491559,epRA,acetate,37
-14.222952027095122,epRA,acetate,37
-14.128582137498944,epRA,acetate,37
-14.234363207352695,epRA,acetate,37
-14.24575495200756,epRA,acetate,37
-14.213353018626423,epRA,acetate,37
-14.023565640997868,epRA,acetate,37
-14.097924145651477,epRA,acetate,37
-14.161422754117387,epRA,acetate,37
-14.187111226913686,epRA,acetate,37
-14.099646146306942,epRA,acetate,37
-14.094110505818675,epRA,acetate,37
-13.949256063175993,epRA,acetate,37
-13.960436516859094,epRA,acetate,37
-14.37158528951683,epRA,acetate,37
-14.001536722832,epRA,acetate,37
-14.086161610036081,epRA,acetate,37
-14.215430165313355,epRA,acetate,37
-14.247638303573739,epRA,acetate,37
-14.232946111768886,epRA,acetate,37
-14.085175566889976,epRA,acetate,37
-14.078709411017433,epRA,acetate,37
-14.21658746098996,epRA,acetate,37
-13.940597318503423,epRA,acetate,37
-14.143003671895391,epRA,acetate,37
-14.094206381060376,epRA,acetate,37
-14.25464912628304,epRA,acetate,37
-14.260338047753883,epRA,acetate,37
-14.115221341860991,epRA,acetate,37
-14.113155066978553,epRA,acetate,37
-14.043461511760981,epRA,acetate,37
-14.265965142946243,epRA,acetate,37
-14.222128300005311,epRA,acetate,37
-14.24521169851501,epRA,acetate,37
-14.39097742516895,epRA,acetate,37
-14.260954565107207,epRA,acetate,37
-13.978624353941248,epRA,acetate,37
-14.164558468728323,epRA,acetate,37
-14.033639938531065,epRA,acetate,37
-14.025226443706881,epRA,acetate,37
-14.10599527780578,epRA,acetate,37
-14.112859091866602,epRA,acetate,37
-14.175548894548394,epRA,acetate,37
-14.146753826889979,epRA,acetate,37
-14.210379113836737,epRA,acetate,37
-14.19169282204934,epRA,acetate,37
-14.154978678642522,epRA,acetate,37
-14.289698825997599,epRA,acetate,37
-14.21568433156955,epRA,acetate,37
-14.47719120565657,epRA,acetate,37
-14.485418831462166,epRA,acetate,37
-14.37013176032449,epRA,acetate,37
-14.237906113651622,epRA,acetate,37
-14.238381018581629,epRA,acetate,37
-14.195788733970867,epRA,acetate,37
-14.018478170813026,epRA,acetate,37
-14.18807020151596,epRA,acetate,37
-14.180235895626831,epRA,acetate,37
-14.258307069933451,epRA,acetate,37
-14.27006947964082,epRA,acetate,37
