,parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,temp,carbon
0,delta_SAI_m,1,-1.0057115658639745e-05,-5.6791534077153656e-05,-1.0634838986834264e-05,-0.0014052463026857013,0.001377776363454901,0.95,32.0,glucose
1,delta_SR_m,1,-0.0005338658960416307,-0.0005256049666788165,-0.0005346877596896382,-0.0011803234742868776,0.00011700911242792002,0.95,32.0,glucose
2,SAI_0,1,-9.786228848578916e-06,0.017534219527263896,0.0018886208921232175,-0.19780014513403416,0.19966145474885758,0.95,32.0,glucose
3,SRA_0,1,-0.05079712649662841,-0.048584122474926335,-0.05022715665661559,-0.24453674170736434,0.14385457567709817,0.95,32.0,glucose
4,sigma,1,0.6955743330092057,0.692105594858018,0.6945789204057067,0.6191785009276205,0.77258575953331,0.95,32.0,glucose
5,delta_SR,1,-0.21370630467373203,-0.20897247805696717,-0.21393680768936713,-0.26114334336658845,-0.16734292054881994,0.95,32.0,glucose
6,delta_SR,2,-0.21904496363414833,-0.21422852772375534,-0.21919243685592704,-0.2666163686854897,-0.17039433354099487,0.95,42.0,glucose
7,delta_SAI,1,-0.003078715072082496,0.00020428290362045978,-0.006134252026481497,-0.3758126147228791,0.3593391795604237,0.95,32.0,glucose
8,delta_SAI,2,-0.003179286228668893,-0.0003636324371510784,-0.00567569238889174,-0.38978858698771646,0.36996052177205785,0.95,42.0,glucose
9,epRA_star,1,-14.968531523368663,-14.944862390284836,-14.969684038446836,-15.205716716832942,-14.736714602744101,0.95,32.0,glucose
10,epRA_star,2,-12.80477518182926,-12.828857361381225,-12.804037815720365,-13.048028332295026,-12.566918156572552,0.95,42.0,glucose
11,epAI_star,1,4.484606424639588,4.501021414518102,4.469328739867592,2.6209369263856046,6.296695897802119,0.95,32.0,glucose
12,epAI_star,2,4.515896431143344,4.501818162185756,4.528378461944459,2.6501973911397108,6.448942934938582,0.95,42.0,glucose
