parameter,value,well_id,carbon,strain
max df,0.003348125608840894,51,acetate,delta
lag time stderr,0.21776244479674828,51,acetate,delta
lag time std,2.177624447967483,51,acetate,delta
lag time,846.9691448940596,51,acetate,delta
max y stderr,4.659041069592599e-05,51,acetate,delta
max y,0.10142770122804193,51,acetate,delta
inverse max df stderr,0.11599545110027362,51,acetate,delta
max y std,0.0004659041069592599,51,acetate,delta
inverse max df,207.0319442439135,51,acetate,delta
time of max df stderr,0.8055780533256851,51,acetate,delta
time of max df std,8.05578053325685,51,acetate,delta
time of max df,1165.7866666666666,51,acetate,delta
max df stderr,1.877181034294693e-06,51,acetate,delta
max df std,1.877181034294693e-05,51,acetate,delta
inverse max df std,1.1599545110027363,51,acetate,delta
max y,0.12404139244110132,52,acetate,delta
lag time stderr,0.20073456697000455,52,acetate,delta
lag time std,2.0073456697000456,52,acetate,delta
lag time,851.9423728918961,52,acetate,delta
max y stderr,5.800903546786956e-05,52,acetate,delta
max y std,0.0005800903546786956,52,acetate,delta
inverse max df stderr,0.09849907824925906,52,acetate,delta
inverse max df,197.92519936676226,52,acetate,delta
time of max df stderr,0.5982440973382019,52,acetate,delta
time of max df std,5.98244097338202,52,acetate,delta
time of max df,1158.6466666666668,52,acetate,delta
max df stderr,1.746099207761944e-06,52,acetate,delta
max df std,1.746099207761944e-05,52,acetate,delta
max df,0.0035021532448049077,52,acetate,delta
inverse max df std,0.9849907824925906,52,acetate,delta
max df,0.003698977268894717,53,acetate,delta
max df std,2.4685740842414066e-05,53,acetate,delta
max df stderr,2.4685740842414065e-06,53,acetate,delta
time of max df,1159.5566666666666,53,acetate,delta
time of max df std,6.989842630560434,53,acetate,delta
time of max df stderr,0.6989842630560434,53,acetate,delta
max y,0.12677001722444398,53,acetate,delta
inverse max df std,1.2511245584912323,53,acetate,delta
inverse max df stderr,0.12511245584912323,53,acetate,delta
max y std,0.0006157588252157664,53,acetate,delta
max y stderr,6.157588252157664e-05,53,acetate,delta
lag time,857.0591651963063,53,acetate,delta
inverse max df,187.39722192355964,53,acetate,delta
lag time std,1.992870527167346,53,acetate,delta
lag time stderr,0.19928705271673458,53,acetate,delta
max df,0.0037122327293789554,54,acetate,delta
max df std,1.8965154972306088e-05,54,acetate,delta
max df stderr,1.8965154972306087e-06,54,acetate,delta
time of max df,1163.8966666666668,54,acetate,delta
time of max df std,7.597177107320851,54,acetate,delta
time of max df stderr,0.7597177107320852,54,acetate,delta
inverse max df,186.7246301834161,54,acetate,delta
inverse max df std,0.9545624619253263,54,acetate,delta
inverse max df stderr,0.09545624619253264,54,acetate,delta
max y,0.12511065648247732,54,acetate,delta
max y std,0.000558660126219242,54,acetate,delta
max y stderr,5.58660126219242e-05,54,acetate,delta
lag time,853.2110247372343,54,acetate,delta
lag time std,1.8820299493716246,54,acetate,delta
lag time stderr,0.18820299493716247,54,acetate,delta
max df,0.0037810772305254935,55,acetate,delta
lag time stderr,0.27214881927332824,55,acetate,delta
max df std,2.6471194539177388e-05,55,acetate,delta
lag time,846.726062556608,55,acetate,delta
max y stderr,7.465990126992867e-05,55,acetate,delta
max y std,0.0007465990126992867,55,acetate,delta
max y,0.12628960235385603,55,acetate,delta
inverse max df stderr,0.12841963225024755,55,acetate,delta
inverse max df std,1.2841963225024755,55,acetate,delta
inverse max df,183.32901738952597,55,acetate,delta
time of max df stderr,0.8707898713237311,55,acetate,delta
time of max df std,8.707898713237311,55,acetate,delta
time of max df,1174.8166666666666,55,acetate,delta
max df stderr,2.6471194539177388e-06,55,acetate,delta
lag time std,2.721488192733282,55,acetate,delta
max df,0.003576325088936683,56,acetate,delta
max df stderr,1.9034851958464149e-06,56,acetate,delta
lag time std,1.8960851433227983,56,acetate,delta
lag time,855.3582781133254,56,acetate,delta
max y stderr,5.442753515865332e-05,56,acetate,delta
max y std,0.0005442753515865332,56,acetate,delta
max y,0.12585302248423244,56,acetate,delta
inverse max df stderr,0.10310294085724617,56,acetate,delta
inverse max df std,1.0310294085724616,56,acetate,delta
inverse max df,193.82097220655356,56,acetate,delta
time of max df stderr,0.5987353338496068,56,acetate,delta
time of max df std,5.987353338496067,56,acetate,delta
time of max df,1180.6266666666668,56,acetate,delta
lag time stderr,0.18960851433227982,56,acetate,delta
max df std,1.903485195846415e-05,56,acetate,delta
inverse max df std,1.12737030726266,57,acetate,delta
lag time std,2.8435052964506418,57,acetate,delta
max df,0.0036597099776675673,57,acetate,delta
max df std,2.1805074430901003e-05,57,acetate,delta
max df stderr,2.1805074430901003e-06,57,acetate,delta
time of max df,1130.5766666666668,57,acetate,delta
time of max df std,9.580287052066865,57,acetate,delta
time of max df stderr,0.9580287052066865,57,acetate,delta
inverse max df,189.40620063979748,57,acetate,delta
inverse max df stderr,0.112737030726266,57,acetate,delta
max y,0.12337123498055615,57,acetate,delta
max y std,0.0008204827736291662,57,acetate,delta
max y stderr,8.204827736291662e-05,57,acetate,delta
lag time,846.9967119645294,57,acetate,delta
lag time stderr,0.2843505296450642,57,acetate,delta
max df std,1.3736367196626662e-05,58,acetate,delta
lag time std,1.986934973910362,58,acetate,delta
lag time,834.4764229609569,58,acetate,delta
max y stderr,5.1284912357835066e-05,58,acetate,delta
max y std,0.0005128491235783507,58,acetate,delta
max y,0.11929010350703999,58,acetate,delta
inverse max df stderr,0.07966010978186051,58,acetate,delta
inverse max df std,0.7966010978186051,58,acetate,delta
inverse max df,200.4390714729954,58,acetate,delta
time of max df stderr,0.8576357035478409,58,acetate,delta
time of max df std,8.57635703547841,58,acetate,delta
