strain,area_pix,mean_yfp,mean_mCherry,fold_change,atc_ngml,date,carbon,temp,operator,run_number
delta,626.0,999.6916932907349,181.91693290734824,0.9850094727436913,0.0,20181004,glucose,37,O2,1
delta,781.0,1022.236875800256,181.12548015364916,1.011594602687061,0.0,20181004,glucose,37,O2,1
delta,668.0,683.1122754491018,194.34730538922156,0.611701119300032,0.0,20181004,glucose,37,O2,1
delta,539.0,1049.113172541744,190.1595547309833,1.0432869538564193,0.0,20181004,glucose,37,O2,1
delta,828.0,811.3659420289855,181.83574879227052,0.7629369937623421,0.0,20181004,glucose,37,O2,1
delta,788.0,797.8921319796955,190.86294416243655,0.7470487661624378,0.0,20181004,glucose,37,O2,1
delta,605.0,698.0181818181818,196.3305785123967,0.62927806539831,0.0,20181004,glucose,37,O2,1
delta,608.0,801.8075657894736,194.90131578947367,0.7516658197868055,0.0,20181004,glucose,37,O2,1
delta,815.0,949.4073619631902,191.59754601226993,0.925714522175264,0.0,20181004,glucose,37,O2,1
delta,475.0,1431.018947368421,194.66947368421052,1.493627714930441,0.0,20181004,glucose,37,O2,1
delta,822.0,1011.1739659367397,196.11435523114355,0.998549292623629,0.0,20181004,glucose,37,O2,1
delta,640.0,868.90625,195.784375,0.830788143946862,0.0,20181004,glucose,37,O2,1
delta,826.0,924.047215496368,191.3958837772397,0.8958100053713469,0.0,20181004,glucose,37,O2,1
delta,628.0,800.6528662420383,191.49522292993632,0.7503042057257459,0.0,20181004,glucose,37,O2,1
delta,526.0,1033.819391634981,179.94296577946767,1.0252526286714263,0.0,20181004,glucose,37,O2,1
delta,500.0,1185.09,195.562,1.2036299284913878,0.0,20181004,glucose,37,O2,1
delta,436.0,878.6628440366973,195.9954128440367,0.8422930550364378,0.0,20181004,glucose,37,O2,1
delta,409.0,876.4132029339853,195.37163814180929,0.839640293143014,0.0,20181004,glucose,37,O2,1
delta,433.0,911.5288683602771,185.03695150115473,0.8810484533125583,0.0,20181004,glucose,37,O2,1
delta,564.0,1062.377659574468,179.36524822695034,1.0589283491411186,0.0,20181004,glucose,37,O2,1
delta,437.0,876.3135011441648,184.9771167048055,0.8395227254525841,0.0,20181004,glucose,37,O2,1
delta,577.0,776.3379549393414,182.79029462738302,0.7216322233068538,0.0,20181004,glucose,37,O2,1
