I_1,I_2,summed,fluct,date,run_no,temp,carbon,operator
66976.79537215816,66101.90228716006,133078.69765931822,765437.9101774874,20181004,1,37,glucose,O2
19914.84229251223,19644.644907370992,39559.487199883224,73006.62693716183,20181004,1,37,glucose,O2
12587.474125589444,17346.37736908473,29933.851494674174,22647160.080949955,20181004,1,37,glucose,O2
52923.4117167081,66839.35705209039,119762.76876879849,193653534.5773481,20181004,1,37,glucose,O2
72431.85632314123,55996.4257473371,128428.28207047834,270123378.212077,20181004,1,37,glucose,O2
99536.49202835027,110541.28689894537,210077.77892729564,121105510.1438762,20181004,1,37,glucose,O2
53101.999043664764,44186.66522436534,97288.6642680301,79483177.10954411,20181004,1,37,glucose,O2
51456.23852069301,47579.353179958554,99035.59170065157,15030239.945201732,20181004,1,37,glucose,O2
41904.21045943502,28101.134019924662,70005.34447935969,190524919.19496584,20181004,1,37,glucose,O2
23671.21674580037,33063.78616999622,56735.00291579659,88220360.38833879,20181004,1,37,glucose,O2
32447.838420380413,41145.07789740866,73592.91631778907,75641974.52077854,20181004,1,37,glucose,O2
30109.530248105442,36732.36721058756,66841.897458693,43861969.43161935,20181004,1,37,glucose,O2
36060.10983079848,35648.22449006402,71708.3343208625,169649.53391194032,20181004,1,37,glucose,O2
29786.419460971738,23705.811817020694,53492.23127799243,36973789.31967586,20181004,1,37,glucose,O2
46756.90470139359,45052.755694504696,91809.66039589829,2904123.837680411,20181004,1,37,glucose,O2
66371.99904366478,80356.6908713898,146728.6899150546,195571605.51643902,20181004,1,37,glucose,O2
45396.31496020337,51230.884384399236,96627.19934460262,34042200.36576124,20181004,1,37,glucose,O2
32274.502186847443,29578.93276265159,61853.43494949903,7266094.520659556,20181004,1,37,glucose,O2
32893.832134015065,37862.49202835027,70756.32416236534,24687581.145575155,20181004,1,37,glucose,O2
30856.960823909598,32865.936634783415,63722.89745869301,4035983.80867611,20181004,1,37,glucose,O2
38777.93663478342,36922.1378920565,75700.07452683992,3443988.973506837,20181004,1,37,glucose,O2
90811.16208118266,68081.99904366476,158893.16112484742,516614852.38606966,20181004,1,37,glucose,O2
45578.13401992466,42626.113702930306,88204.24772285497,8714423.951947458,20181004,1,37,glucose,O2
49975.16208118266,38955.741663875706,88930.90374505837,121427626.33336133,20181004,1,37,glucose,O2
52321.59265698681,56264.27674044821,108585.86939743502,15544757.781979842,20181004,1,37,glucose,O2
66312.20030093782,60390.57862635779,126702.77892729561,35065603.25685605,20181004,1,37,glucose,O2
61396.26658195104,63801.4538085951,125197.72039054614,5784925.595211756,20181004,1,37,glucose,O2
54531.54040660262,59943.821975517865,114475.36238212048,29292791.781219702,20181004,1,37,glucose,O2
24878.268996184543,27061.508473212798,51939.77746939734,4766534.61405461,20181004,1,37,glucose,O2
35117.73779174388,30349.991299401114,65467.729091144996,22731406.61524674,20181004,1,37,glucose,O2
65553.73537751034,58120.33914932956,123674.07452683989,55255379.4851323,20181004,1,37,glucose,O2
40884.98501303576,35352.981140903954,76237.96615393972,30603066.841281284,20181004,1,37,glucose,O2
28555.526375973623,37129.908573525405,65685.43494949903,73520030.06969292,20181004,1,37,glucose,O2
25901.24093492654,29337.86260950659,55239.10354443313,11810368.534193376,20181004,1,37,glucose,O2
39567.71360261769,42966.0575804143,82533.77118303199,11548741.791426502,20181004,1,37,glucose,O2
50845.870353770224,36382.162081182665,87228.03243495288,209198856.99451777,20181004,1,37,glucose,O2
39319.01548852729,39301.42187520527,78620.43736373256,309.5352297248963,20181004,1,37,glucose,O2
38711.02564702447,26453.609101849324,65164.634748873796,150244260.36193344,20181004,1,37,glucose,O2
17419.47412558944,17337.57475422598,34757.048879815426,6707.507029729779,20181004,1,37,glucose,O2
28829.332862964206,25002.99517153294,53832.32803449714,14640860.12886754,20181004,1,37,glucose,O2
28007.721346881342,27599.93663478342,55607.65798166476,166288.3714207868,20181004,1,37,glucose,O2
18416.144178421833,17822.58878485498,36238.73296327681,352308.005232303,20181004,1,37,glucose,O2
35976.01936065912,45939.09580016947,81915.11516082859,99262892.13952617,20181004,1,37,glucose,O2
26951.77601149904,28682.411716708084,55634.18772820712,2995099.9441444,20181004,1,37,glucose,O2
52824.27286831638,65845.07161104331,118669.34447935969,169541199.89859927,20181004,1,37,glucose,O2
57466.85003677588,62290.92647628622,119757.7765130621,23271713.494238757,20181004,1,37,glucose,O2
30502.307215939723,35667.19255667419,66169.49977261391,26676040.58293381,20181004,1,37,glucose,O2
24878.685541359686,28300.77601149904,53179.46155285873,11710703.185818596,20181004,1,37,glucose,O2
17873.609101849335,21674.418003073442,39548.027104922774,14446148.303624405,20181004,1,37,glucose,O2
19205.800200625225,17743.369624821084,36949.16982544631,2138703.1890468313,20181004,1,37,glucose,O2
32669.178526045183,32257.4944425838,64926.672968628984,169483.78457543906,20181004,1,37,glucose,O2
29153.182398177018,22815.268996184557,51968.451394361575,40169146.291155644,20181004,1,37,glucose,O2
38613.63329097551,38754.02564702448,77367.65893799998,19710.01363698108,20181004,1,37,glucose,O2
22389.834548248582,21238.21674580036,43628.05129404894,1326223.562915671,20181004,1,37,glucose,O2
39426.68312712616,35102.644907370995,74529.32803449716,18697306.525903426,20181004,1,37,glucose,O2
44729.24867919019,45839.769725133694,90569.01840432388,1233256.9934834538,20181004,1,37,glucose,O2
32680.522503841803,32769.6855413597,65450.20804520151,7950.047259417991,20181004,1,37,glucose,O2
32788.99129940113,34336.06773891148,67125.05903831261,2393445.5096880123,20181004,1,37,glucose,O2
25657.713602617685,28683.96323814311,54341.676840760796,9158186.856517775,20181004,1,37,glucose,O2
18235.29318531073,17644.824389751404,35880.11757506213,348653.3985292804,20181004,1,37,glucose,O2
15120.144178421833,15712.800200625228,30832.94437904706,351241.160653951,20181004,1,37,glucose,O2
12254.532662338972,11201.671510730686,23456.20417306966,1108516.6045659254,20181004,1,37,glucose,O2
12923.96323814312,13587.407844576264,26511.371082719386,440158.7458052295,20181004,1,37,glucose,O2
28810.695699856868,33932.98742726929,62743.68312712616,26237872.540717743,20181004,1,37,glucose,O2
24267.33914932955,19212.655065868163,43479.994215197716,25549831.18359788,20181004,1,37,glucose,O2
12267.039677653476,15335.039677653473,27602.07935530695,9412623.999999978,20181004,1,37,glucose,O2
64711.765853001874,75252.21045943501,139963.9763124369,111100972.50128537,20181004,1,37,glucose,O2
31526.73391961204,31071.900829261755,62598.634748873796,206873.1400775919,20181004,1,37,glucose,O2
26508.13014779284,24143.17852604519,50651.30867383803,5592996.173206832,20181004,1,37,glucose,O2
23458.40784457626,15607.570882094155,39065.978726670415,61635641.011475265,20181004,1,37,glucose,O2
18644.063866779656,16064.59507122033,34708.658937999986,6653659.267264277,20181004,1,37,glucose,O2
