,alpha,log_prob
0,497.4315601299988,-6273.119852620086
1,477.73274272489186,-6273.175385605751
2,479.33962518418565,-6273.147100320372
3,473.9601027835178,-6273.259458716738
4,470.48574306844574,-6273.359338781326
5,476.60973220096673,-6273.197802559179
6,506.6533456902634,-6273.296438109381
7,467.22548518751967,-6273.47321791556
8,451.39486978404904,-6274.321634709923
9,505.78426560758464,-6273.27468622615
10,477.7101414515077,-6273.175815174325
11,480.4330022166179,-6273.1303787546
12,495.34158701228,-6273.09694472391
13,462.87429308880905,-6273.656547834181
14,488.04979907472,-6273.069060802999
15,456.2059237633961,-6274.009872964258
16,483.70226338835676,-6273.09238034037
17,484.04382728634044,-6273.089434855108
18,472.13091041350884,-6273.309318803216
19,545.1801750810794,-6275.205267651274
20,489.3503695132291,-6273.067976940125
21,468.0414447857712,-6273.442856142357
22,486.29617954294577,-6273.074788145604
23,467.5406637486745,-6273.461341700833
24,467.62936437787164,-6273.458033113562
25,468.63963939850595,-6273.42139062303
26,516.0054040459205,-6273.594568059021
27,516.0054040459205,-6273.594568059021
28,516.0054040459205,-6273.594568059021
29,474.9851536644454,-6273.234134767906
30,467.7872943915526,-6273.452178847987
31,516.0935453700728,-6273.597920539359
32,474.42312032628155,-6273.247788541218
33,501.67536708492923,-6273.186081803487
34,498.75392795660247,-6273.137682081932
35,505.426916353305,-6273.266044257221
36,501.7847190114128,-6273.188131519185
37,492.8662935169132,-6273.078298462159
38,486.98503011489316,-6273.07195041304
39,491.92552171847495,-6273.073660622775
40,491.92552171847495,-6273.073660622775
41,515.8915868424092,-6273.590253618313
42,507.6674535646988,-6273.32312800466
43,495.32743508886404,-6273.096811818204
44,474.65872176047867,-6273.241996725051
45,552.053486780111,-6275.718063158009
46,488.5740657274255,-6273.068301718203
47,489.7513008999815,-6273.068181122594
48,500.745321928163,-6273.169339562916
49,526.788902253629,-6274.076070143452
50,505.548630837397,-6273.268967923476
51,485.30999519266,-6273.080184730737
52,502.8022008480621,-6273.2080181710335
53,436.9533230233399,-6275.56548017992
54,471.6271027772921,-6273.324112607536
55,461.1189989926748,-6273.74091513779
56,472.03691372332423,-6273.312043964464
57,449.2131054084744,-6274.479331622752
58,473.01521962285454,-6273.28446292091
59,509.45020028769665,-6273.373429856588
60,490.3194292500779,-6273.068902238885
61,488.22512883542936,-6273.068758366788
62,509.8477727444215,-6273.385230827624
63,523.151844860687,-6273.897884554479
64,522.6724021902165,-6273.87557355951
65,525.7149312419612,-6274.021824885499
66,496.9762029994191,-6273.1143087486735
