clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date
09h15m,20,0.09,1,glucose,37,O2,20180913
09h15m,20,0.1,1,glucose,37,O2,20180913
09h15m,20,0.09,1,glucose,37,O2,20180913
09h44m,49,0.14,1,glucose,37,O2,20180913
09h44m,49,0.14,1,glucose,37,O2,20180913
09h44m,49,0.14,1,glucose,37,O2,20180913
10h14m,79,0.17,1,glucose,37,O2,20180913
10h14m,79,0.17,1,glucose,37,O2,20180913
10h14m,79,0.17,1,glucose,37,O2,20180913
10h45m,110,0.21,1,glucose,37,O2,20180913
10h45m,110,0.22,1,glucose,37,O2,20180913
10h45m,110,0.23,1,glucose,37,O2,20180913
11h15m,140,0.27,1,glucose,37,O2,20180913
11h15m,140,0.29,1,glucose,37,O2,20180913
11h15m,140,0.29,1,glucose,37,O2,20180913
11h31m,156,0.3,1,glucose,37,O2,20180913
11h31m,156,0.31,1,glucose,37,O2,20180913
11h31m,156,0.32,1,glucose,37,O2,20180913
11h45m,170,0.32,1,glucose,37,O2,20180913
11h45m,170,0.33,1,glucose,37,O2,20180913
11h45m,170,0.34,1,glucose,37,O2,20180913
12h00m,185,0.34,1,glucose,37,O2,20180913
12h00m,185,0.36,1,glucose,37,O2,20180913
12h00m,185,0.37,1,glucose,37,O2,20180913
12h15m,200,0.43,1,glucose,37,O2,20180913
12h15m,200,0.42,1,glucose,37,O2,20180913
12h15m,200,0.42,1,glucose,37,O2,20180913
12h30m,215,0.43,1,glucose,37,O2,20180913
12h30m,215,0.44,1,glucose,37,O2,20180913
12h30m,215,0.44,1,glucose,37,O2,20180913
12h45m,230,0.49,1,glucose,37,O2,20180913
12h45m,230,0.44,1,glucose,37,O2,20180913
12h45m,230,0.45,1,glucose,37,O2,20180913
13h00m,245,0.55,1,glucose,37,O2,20180913
13h00m,245,0.53,1,glucose,37,O2,20180913
13h00m,245,0.51,1,glucose,37,O2,20180913
13h15m,260,0.6,1,glucose,37,O2,20180913
13h15m,260,0.55,1,glucose,37,O2,20180913
13h15m,260,0.56,1,glucose,37,O2,20180913
13h31m,276,0.63,1,glucose,37,O2,20180913
13h31m,276,0.63,1,glucose,37,O2,20180913
13h32m,277,0.64,1,glucose,37,O2,20180913
13h45m,290,0.69,1,glucose,37,O2,20180913
13h46m,291,0.71,1,glucose,37,O2,20180913
13h47m,292,0.71,1,glucose,37,O2,20180913
