I_1,I_2,area_1,area_2,bg_val,fractional_birth_area,date,run_no,temp,carbon,operator
101.6682808716707,101.62924281984334,413.0,383.0,101.51668301085297,0.5108853410740203,20181026,1,37,acetate,O2
101.60526315789474,101.58407079646018,456.0,452.0,101.51668301085297,0.500768049155146,20181026,1,37,acetate,O2
101.61627906976744,101.65294117647059,344.0,340.0,101.51668301085297,0.5081081081081081,20181026,1,37,acetate,O2
101.55151515151515,101.54816513761467,495.0,436.0,101.51668301085297,0.4918276374442793,20181026,1,37,acetate,O2
101.57251908396947,101.5543710021322,524.0,469.0,101.51668301085297,0.48089171974522293,20181026,1,37,acetate,O2
101.63419913419914,101.50100200400801,462.0,499.0,101.51668301085297,0.4283513097072419,20181026,1,37,acetate,O2
101.57522123893806,101.54767726161369,339.0,409.0,101.51668301085297,0.4583333333333333,20181026,1,37,acetate,O2
101.65322580645162,101.73306772908367,372.0,251.0,101.51668301085297,0.5982532751091703,20181026,1,37,acetate,O2
101.67245119305856,101.60154241645245,461.0,389.0,101.51668301085297,0.526615969581749,20181026,1,37,acetate,O2
101.53739612188366,101.51162790697674,361.0,301.0,101.51668301085297,0.5387323943661971,20181026,1,37,acetate,O2
101.6504854368932,101.6652719665272,309.0,239.0,101.51668301085297,0.5084388185654009,20181026,1,37,acetate,O2
101.57909604519774,101.70571428571428,354.0,350.0,101.51668301085297,0.5081967213114754,20181026,1,37,acetate,O2
101.53383458646617,101.6096654275093,266.0,269.0,101.51668301085297,0.48268398268398266,20181026,1,37,acetate,O2
101.66269841269842,101.58364312267658,252.0,269.0,101.51668301085297,0.48380566801619435,20181026,1,37,acetate,O2
101.57768924302789,101.57085020242916,251.0,247.0,101.51668301085297,0.486652977412731,20181026,1,37,acetate,O2
101.62264150943396,101.64363636363636,265.0,275.0,101.51668301085297,0.48141263940520446,20181026,1,37,acetate,O2
101.53242320819113,101.58677685950413,293.0,242.0,101.51668301085297,0.5476635514018692,20181026,1,37,acetate,O2
101.69250645994832,101.54881266490766,387.0,379.0,101.51668301085297,0.5070422535211268,20181026,1,37,acetate,O2
101.55820105820106,101.50742574257426,378.0,404.0,101.5113698950995,0.49566724436741766,20181026,1,37,acetate,O2
101.50877192982456,101.61617900172116,570.0,581.0,101.5113698950995,0.4730831973898858,20181026,1,37,acetate,O2
101.64794816414687,101.57441253263707,463.0,383.0,101.5113698950995,0.5317139001349528,20181026,1,37,acetate,O2
101.51190476190476,101.5383064516129,420.0,496.0,101.5113698950995,0.5176678445229682,20181026,1,37,acetate,O2
101.5,101.56857855361596,388.0,401.0,101.5113698950995,0.5147540983606558,20181026,1,37,acetate,O2
101.59074733096085,101.5037037037037,281.0,270.0,101.5113698950995,0.5488565488565489,20181026,1,37,acetate,O2
101.65384615384616,101.54166666666667,390.0,264.0,101.5113698950995,0.6112084063047285,20181026,1,37,acetate,O2
101.57371794871794,101.51428571428572,312.0,245.0,101.5113698950995,0.566793893129771,20181026,1,37,acetate,O2
101.66415094339622,101.58267716535433,265.0,254.0,101.5113698950995,0.4835390946502058,20181026,1,37,acetate,O2
101.55479452054794,101.58892128279884,438.0,343.0,101.5113698950995,0.5608194622279129,20181026,1,37,acetate,O2
101.61121495327103,101.51338199513383,535.0,411.0,101.5113698950995,0.5655391120507399,20181026,1,37,acetate,O2
101.51895734597156,101.57756563245823,422.0,419.0,101.50432449743985,0.49358059914407987,20181026,1,37,acetate,O2
101.58215010141988,101.51102204408818,493.0,499.0,101.50432449743985,0.4831130690161527,20181026,1,37,acetate,O2
101.56424581005587,101.54035087719298,358.0,285.0,101.50432449743985,0.5731462925851704,20181026,1,37,acetate,O2
101.63104325699746,101.56681034482759,393.0,464.0,101.50432449743985,0.49072512647554806,20181026,1,37,acetate,O2
101.6475,101.54335260115607,400.0,346.0,101.50432449743985,0.5334323922734027,20181026,1,37,acetate,O2
101.53205128205128,101.52859618717504,624.0,577.0,101.50432449743985,0.5151515151515151,20181026,1,37,acetate,O2
101.67635658914729,101.62962962962963,516.0,486.0,101.50432449743985,0.5142428785607196,20181026,1,37,acetate,O2
101.53907496012759,101.5175572519084,627.0,655.0,101.50432449743985,0.5102639296187683,20181026,1,37,acetate,O2
101.62007874015748,101.52824858757062,508.0,354.0,101.50432449743985,0.5349500713266762,20181026,1,37,acetate,O2
101.59852216748769,101.51293103448276,406.0,464.0,101.50432449743985,0.4692513368983957,20181026,1,37,acetate,O2
101.53140096618357,101.53932584269663,414.0,445.0,101.50432449743985,0.5144827586206897,20181026,1,37,acetate,O2
101.50094161958569,101.60286225402504,531.0,559.0,101.50432449743985,0.5064011379800853,20181026,1,37,acetate,O2
101.55681818181819,101.53884711779449,440.0,399.0,101.50432449743985,0.505524861878453,20181026,1,37,acetate,O2
101.51118760757315,101.55299539170507,581.0,434.0,101.50432449743985,0.5154639175257731,20181026,1,37,acetate,O2
101.56066176470588,101.52248394004283,544.0,467.0,101.50432449743985,0.5307017543859649,20181026,1,37,acetate,O2
101.65285996055226,101.58429561200924,507.0,433.0,101.50432449743985,0.5201109570041609,20181026,1,37,acetate,O2
101.57228915662651,101.5062656641604,332.0,399.0,101.50432449743985,0.5080763582966226,20181026,1,37,acetate,O2
101.52861035422343,101.50422535211267,367.0,355.0,101.50432449743985,0.5349854227405247,20181026,1,37,acetate,O2
101.51599147121536,101.59007352941177,469.0,544.0,101.50432449743985,0.4908424908424908,20181026,1,37,acetate,O2
101.57209302325582,101.58273381294964,430.0,417.0,101.50432449743985,0.5786082474226805,20181026,1,37,acetate,O2
101.58495145631068,101.5762331838565,412.0,446.0,101.50432449743985,0.4830917874396135,20181026,1,37,acetate,O2
101.58516483516483,101.5909090909091,364.0,374.0,101.49013867479835,0.5043478260869565,20181026,1,37,acetate,O2
101.5609756097561,101.6,328.0,325.0,101.49013867479835,0.5032051282051282,20181026,1,37,acetate,O2
101.50306748466258,101.54624277456648,326.0,346.0,101.49013867479835,0.4826989619377163,20181026,1,37,acetate,O2
101.50574712643679,101.53771289537713,348.0,411.0,101.49013867479835,0.4688,20181026,1,37,acetate,O2
101.5632183908046,101.58666666666667,348.0,300.0,101.49013867479835,0.5268817204301075,20181026,1,37,acetate,O2
101.67605633802818,101.63320463320463,284.0,259.0,101.49013867479835,0.5327313769751693,20181026,1,37,acetate,O2
101.63358778625954,101.60750853242321,262.0,293.0,101.49013867479835,0.4567669172932331,20181026,1,37,acetate,O2
101.56764705882352,101.53823529411764,340.0,340.0,101.49013867479835,0.5138461538461538,20181026,1,37,acetate,O2
101.55675675675676,101.54907161803713,370.0,377.0,101.50469483349605,0.4973821989528796,20181026,1,37,acetate,O2
101.56296296296296,101.52762430939227,270.0,362.0,101.50469483349605,0.5056360708534622,20181026,1,37,acetate,O2
101.69924812030075,101.58769230769231,266.0,325.0,101.50469483349605,0.43908045977011495,20181026,1,37,acetate,O2
101.53134328358209,101.70967741935483,335.0,341.0,101.50469483349605,0.504885993485342,20181026,1,37,acetate,O2
