strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_hpd_min,alpha_hpd_max,fold_change
delta,488.0,1126.72131147541,101.51229508196721,0.0,20181026,acetate,37,O2,1,158.19719538815247,101.48967659744197,3325.308638682497,3000.168525001065,3650.635422383374,1.1166069757911907
delta,399.0,1150.6741854636591,101.54887218045113,0.0,20181026,acetate,37,O2,1,158.19719538815247,101.48967659744197,3325.308638682497,3000.168525001065,3650.635422383374,1.1444974982106788
delta,629.0,1025.4848966613672,101.5214626391097,0.0,20181026,acetate,37,O2,1,158.19719538815247,101.48967659744197,3325.308638682497,3000.168525001065,3650.635422383374,0.9987281568058439
delta,573.0,1048.2705061082024,101.51832460732984,0.0,20181026,acetate,37,O2,1,158.19719538815247,101.48967659744197,3325.308638682497,3000.168525001065,3650.635422383374,1.0252595263371336
delta,669.0,871.2526158445442,101.37817638266068,0.0,20181026,acetate,37,O2,1,158.19719538815247,101.48967659744197,3325.308638682497,3000.168525001065,3650.635422383374,0.8191414029139868
delta,618.0,964.8252427184466,101.4368932038835,0.0,20181026,acetate,37,O2,1,158.19719538815247,101.48967659744197,3325.308638682497,3000.168525001065,3650.635422383374,0.9280965725089704
delta,521.0,1866.6756238003838,101.53358925143954,0.0,20181026,acetate,37,O2,1,158.19719538815247,101.48967659744197,3325.308638682497,3000.168525001065,3650.635422383374,1.9782034734566059
delta,434.0,944.7119815668203,101.44700460829493,0.0,20181026,acetate,37,O2,1,158.19719538815247,101.48967659744197,3325.308638682497,3000.168525001065,3650.635422383374,0.9046768625671219
delta,408.0,754.4926470588235,101.27450980392157,0.0,20181026,acetate,37,O2,1,158.19719538815247,101.48967659744197,3325.308638682497,3000.168525001065,3650.635422383374,0.6831870899278111
delta,448.0,1022.7165178571429,101.55357142857143,0.0,20181026,acetate,37,O2,1,158.19719538815247,101.48967659744197,3325.308638682497,3000.168525001065,3650.635422383374,0.995504680109781
