strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_mean,alpha_median,alpha_hpd_min,alpha_hpd_max,fold_change
delta,425.0,1030.2423529411765,177.8729411764706,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,1.0204217693748214
delta,360.0,956.1638888888889,183.96666666666667,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.9334535753607572
delta,475.0,579.8042105263158,186.6757894736842,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.4916069206595479
delta,583.0,856.336192109777,185.39965694682675,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.8162557552853439
delta,490.0,953.9530612244898,189.84897959183672,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.930858061378267
delta,451.0,1012.8514412416852,189.31263858093126,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,1.0000048209119692
delta,418.0,779.4641148325359,184.1244019138756,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.7260078564332241
delta,661.0,820.6565809379728,193.45688350983357,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.7743678545785254
delta,649.0,1154.7072419106316,201.28813559322035,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,1.166543678762605
delta,395.0,804.1139240506329,193.61012658227847,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.7549467581493287
delta,491.0,1142.3319755600814,187.91649694501018,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,1.1520151031675345
delta,389.0,864.1979434447301,186.27249357326477,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.8254854595473806
delta,475.0,568.3263157894737,196.15578947368422,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.478131860274358
delta,553.0,736.7830018083183,196.75587703435804,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.6759001852535632
delta,419.0,1297.0238663484488,185.60381861575178,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,1.333623544198241
delta,501.0,906.2335329341317,187.43512974051896,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.8748352854242976
delta,514.0,719.5953307392996,185.11089494163423,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.6557218415027362
delta,387.0,917.3359173126615,186.18087855297156,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.8878694962574104
delta,536.0,2399.759328358209,187.11567164179104,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,2.628236126048769
delta,544.0,718.5606617647059,175.99264705882354,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.6545071390480621
delta,798.0,1310.377192982456,188.08270676691728,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,1.3493003635855843
delta,616.0,885.0113636363636,187.36201298701297,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.8499204365475055
delta,494.0,921.9311740890688,185.26923076923077,0.0,20181029,glycerol,37,O2,1,153.06284843295757,190.31306502580406,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,0.89326433250284
delta,550.0,2330.88,193.5890909090909,0.0,20181029,glycerol,37,O2,1,153.3125495208039,197.1565658455492,586.1064569997664,586.1064569997664,593.2852695073575,471.672286408172,726.3815477400847,2.547371722758942
