clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date
09h55m,65,0.06,1,glucose,37,O2,20180917
09h55m,65,0.07,1,glucose,37,O2,20180917
09h55m,65,0.08,1,glucose,37,O2,20180917
10h30m,100,0.13,1,glucose,37,O2,20180917
10h30m,100,0.14,1,glucose,37,O2,20180917
10h30m,100,0.14,1,glucose,37,O2,20180917
11h01m,131,0.17,1,glucose,37,O2,20180917
11h01m,131,0.18,1,glucose,37,O2,20180917
11h01m,131,0.19,1,glucose,37,O2,20180917
11h31m,161,0.23,1,glucose,37,O2,20180917
11h31m,161,0.25,1,glucose,37,O2,20180917
11h31m,161,0.25,1,glucose,37,O2,20180917
12h01m,191,0.33,1,glucose,37,O2,20180917
12h01m,191,0.34,1,glucose,37,O2,20180917
12h01m,191,0.35,1,glucose,37,O2,20180917
12h16m,206,0.38,1,glucose,37,O2,20180917
12h16m,206,0.38,1,glucose,37,O2,20180917
12h16m,206,0.39,1,glucose,37,O2,20180917
12h36m,226,0.42,1,glucose,37,O2,20180917
12h58m,248,0.5,1,glucose,37,O2,20180917
12h58m,248,0.51,1,glucose,37,O2,20180917
12h58m,248,0.52,1,glucose,37,O2,20180917
13h15m,265,0.56,1,glucose,37,O2,20180917
13h15m,265,0.56,1,glucose,37,O2,20180917
13h15m,265,0.62,1,glucose,37,O2,20180917
13h32m,282,0.59,1,glucose,37,O2,20180917
13h32m,282,0.6,1,glucose,37,O2,20180917
13h32m,282,0.61,1,glucose,37,O2,20180917
13h46m,296,0.67,1,glucose,37,O2,20180917
13h46m,296,0.68,1,glucose,37,O2,20180917
13h46m,296,0.69,1,glucose,37,O2,20180917
14h01m,311,0.69,1,glucose,37,O2,20180917
14h01m,311,0.71,1,glucose,37,O2,20180917
14h01m,311,0.72,1,glucose,37,O2,20180917
14h16m,316,0.74,1,glucose,37,O2,20180917
14h16m,316,0.73,1,glucose,37,O2,20180917
14h16m,316,0.75,1,glucose,37,O2,20180917
14h32m,332,0.81,1,glucose,37,O2,20180917
14h33m,332,0.81,1,glucose,37,O2,20180917
14h33m,332,0.78,1,glucose,37,O2,20180917
