strain,area_pix,mean_yfp,mean_mCherry,fold_change,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val
delta,287.0,815.6202090592335,181.56445993031357,0.6860888762954126,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,456.0,835.4714912280701,182.16008771929825,0.7069843715761729,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,314.0,741.3853503184713,182.10828025477707,0.6079491305957317,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,493.0,269.55578093306286,172.1521298174442,0.11130047805210888,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,689.0,157.62264150943398,168.16690856313497,-0.006520545632639342,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,428.0,257.42056074766356,172.64252336448598,0.09852692347974654,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,458.0,1670.1659388646287,181.75327510917032,1.5855852469819283,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,455.0,1348.9296703296702,179.46373626373625,1.2474513735075659,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,421.0,1013.458432304038,181.3705463182898,0.8943337455691678,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,586.0,1193.5563139931742,183.93515358361773,1.0839050994446344,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,350.0,1287.0085714285715,178.82857142857142,1.1822731135411355,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,350.0,1245.0171428571427,181.25714285714287,1.1380728603744104,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,627.0,1207.389154704944,179.4976076555024,1.0984655724334296,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,568.0,704.1637323943662,183.4718309859155,0.5687695886870299,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,321.0,1099.0996884735202,182.05295950155764,0.9844798856979428,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,423.0,156.96217494089834,193.36879432624113,-0.007215753929441521,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,765.0,1498.3281045751635,179.97254901960784,1.404708433841449,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,378.0,614.4867724867725,194.04761904761904,0.47437545955195093,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,357.0,784.4229691876751,178.95238095238096,0.6532506055497452,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,502.0,1077.812749003984,189.70119521912352,0.9620732149628004,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,600.0,1420.995,181.46,1.3233074690093838,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,371.0,999.1347708894879,189.98921832884096,0.8792566338266934,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
delta,539.0,1042.8719851576996,195.68274582560298,0.9252945041547729,0.0,20181024,glucose,37,O2,1,157.4140712522758,185.88646451624422
