alpha,log_prob
451.4910819535448,-3550.0894870155794
475.6474066009855,-3550.781429418604
424.4066014120157,-3551.095576141779
405.1956022763681,-3551.3100000476616
461.4939308083326,-3550.850457182079
445.0782039405483,-3550.0304858244835
422.62204461781994,-3550.4998435727393
451.85736332829754,-3550.458115856093
458.86444863812204,-3550.6930254889116
414.2697650105001,-3550.2643041865017
438.32177999078874,-3549.9850878656393
446.70771806204095,-3549.740680540408
447.4798170821764,-3549.695196280242
426.7744621813034,-3550.159512706508
429.33602638169674,-3549.9609973236256
408.7252846308863,-3550.681937504098
446.7855621643534,-3550.2751604459745
406.62954441021446,-3550.945059535531
421.56983847917746,-3549.997979761163
440.2993945518683,-3549.9993877125
445.85235874825906,-3550.140519997647
440.0512050679149,-3550.5239979051757
480.5410426390622,-3550.4817092643725
404.5160099922255,-3551.130191396639
437.9042174998738,-3550.248081978055
449.77971784354014,-3551.6471598180096
458.29270542807024,-3550.8897853598824
475.0802306918661,-3551.152561852919
471.8499651318332,-3550.692414069763
447.5856641482078,-3549.7395416988497
447.90197689450525,-3550.1311335633586
437.2940156231714,-3550.047344245691
435.3704698088155,-3549.7626780995943
446.9316041063539,-3549.8741084916837
497.0388348804306,-3551.697593595445
423.808061254503,-3551.3883120946853
424.31244026889027,-3550.250438840869
422.6906998551157,-3551.606659435589
410.47071272710383,-3552.5036839309205
444.46612146853784,-3553.7149981819102
448.6919773165188,-3552.7738288708556
427.4165435604563,-3550.8308734401035
398.7305797324668,-3552.220832183261
464.34536834583406,-3551.785088015931
509.00220836751913,-3551.792364944667
380.7171918248713,-3555.1391170727807
403.4357024393667,-3553.4786757654592
403.4048258278247,-3552.9476791675916
464.61212993090066,-3553.48164558272
425.09371583795837,-3553.2938213540456
459.02959411924365,-3555.21057649801
427.890191230548,-3553.364648677728
456.0062209633878,-3550.406763284556
449.79638311508273,-3550.445634775962
426.287645878831,-3550.7522382174598
436.3230475716424,-3552.040782133286
446.87329856277216,-3549.867319871519
469.2704166541012,-3550.6404867301594
427.1525957825138,-3550.569188957302
405.0139136948739,-3550.9196771156503
405.0139136948739,-3550.9196771156503
463.118419368772,-3550.873207647541
427.03288283201414,-3552.5981156660996
441.2588320578309,-3553.61440756759
404.647101534989,-3553.83894295086
419.77398474560505,-3554.5839158592944
495.301640245196,-3553.4408277532366
398.9742539256837,-3555.539530998216
434.82045273617433,-3551.713669654317
462.76031175860896,-3551.80788815866
481.63614319018643,-3552.8071781853396
509.2066846889127,-3556.4535726657186
501.17080011665314,-3555.5386551332476
473.5879737530051,-3551.0147853999624
441.69758008863613,-3551.251425915231
441.8271932703672,-3549.7403681572223
443.17541665211945,-3549.9749605441307
442.4377849113225,-3550.6011417947875
450.2066560282065,-3550.895250550627
482.5656304723694,-3550.58726533066
423.4389222437166,-3553.030153295243
441.68673939914805,-3552.0950433972307
422.112062851119,-3552.8372130320677
456.5516509891479,-3552.1754336230383
453.4146841451968,-3550.7259542954894
445.24733276168627,-3552.1175669705126
431.11872759378275,-3549.6995373291734
446.8850500759913,-3549.618271260444
429.53273149072146,-3551.8195428865024
440.8875608608637,-3549.6124747893587
508.1127414491652,-3551.954276766799
431.06311950239575,-3550.855520204341
428.28567451520587,-3549.9900389275713
478.67391303035726,-3551.0422676856588
516.4964553219631,-3552.8577842395816
510.31164806206135,-3552.5355981036396
510.31164806206135,-3552.5355981036396
421.6987735579848,-3549.9209570446924
426.5540158887838,-3550.0417744498595
391.71292775550256,-3551.707537818077
428.19744417124764,-3550.085990503887
460.7960194366058,-3551.264743109778
466.7063065963986,-3551.1544463057076
421.5314088535789,-3550.8797438357096
436.46845686291186,-3551.0766196614613
452.30320085928076,-3551.618976709328
433.50640576652034,-3552.9130456569983
460.0842420852362,-3552.776310132933
392.725253396058,-3554.6584468401293
422.95411238247254,-3550.755643509169
412.5892994203211,-3550.3925231524927
405.4131750668445,-3551.2064669373094
445.9234368907966,-3550.9193953841736
438.879977412673,-3550.8246457958003
412.7361179144877,-3550.2603675498535
444.6718598619351,-3549.7543884916804
416.98342942796256,-3550.891758458515
402.70104509341496,-3553.0472022492163
407.3834673666019,-3552.288630574911
451.6148551346573,-3550.8508953516825
432.3362962938134,-3549.8837802253774
453.6151150936228,-3549.9719707694167
451.1147506272971,-3551.523496271118
447.2227913583906,-3553.32545195029
424.10802455529733,-3555.037490676044
461.7397739338206,-3553.412494042152
428.2041783900278,-3552.0660114300354
465.75246288522476,-3553.3073278699426
479.8141179480778,-3554.3705649382396
421.6848970162715,-3555.5861145190725
443.8744080130022,-3550.7707226779817
440.4607253243516,-3550.53190462801
434.7636258786802,-3551.0715441470757
430.4003117253136,-3551.437326837096
429.49446529833136,-3550.889074757692
426.96485893990183,-3550.0361493483542
463.1171911978031,-3550.6882090270055
421.3119500806561,-3551.766580942253
447.12648483418434,-3550.272090878954
434.1904293834511,-3550.031737486064
382.0245406914986,-3553.9344818314803
382.0245406914986,-3553.9344818314803
516.8381190421377,-3554.9609155884123
457.40015665818487,-3549.7447328668313
443.1743164204339,-3550.610163799586
403.4834609240157,-3551.181139684086
451.84323309604287,-3550.732460900139
451.24821128813494,-3551.480552301358
446.32357224259033,-3551.4259030988746
432.96915797489527,-3551.2068063282923
422.8441406350871,-3551.666946861831
435.25635202753267,-3551.2334718181687
431.2535460703393,-3551.8309360109897
453.0663210064394,-3551.7393081770365
443.67193262438764,-3550.76592164018
469.2965783051295,-3550.5516018623116
463.7299438789858,-3551.4824245922637
442.4118996054562,-3551.434304290126
440.7477158839671,-3550.1655806911367
411.0747341473174,-3550.7327511843196
470.9292785383772,-3551.110720714713
440.2046675664066,-3551.575460557992
441.0398916961244,-3552.2339530581007
477.0676104269509,-3551.499327955919
501.5657206090297,-3552.9782206385376
496.9110204059642,-3552.8927531889262
460.8488452251515,-3551.0892565398212
432.99219437078824,-3550.781168106878
467.30250374424867,-3551.3682493755678
440.46038957637364,-3550.9679267783695
432.5565251325081,-3551.2594544644307
443.8486010931447,-3550.2490979438676
438.3596283210735,-3551.795102078572
