parameter,value,well_id,carbon,strain
max df,0.029087669093330985,14,LB,delta
lag time std,2.296314401743227,14,LB,delta
lag time,111.79204354587347,14,LB,delta
max y stderr,0.0005327140745953441,14,LB,delta
max y std,0.0053271407459534416,14,LB,delta
max y,0.33371993120627963,14,LB,delta
inverse max df stderr,0.0745470997062712,14,LB,delta
lag time stderr,0.2296314401743227,14,LB,delta
inverse max df,23.852828093754802,14,LB,delta
time of max df stderr,1.329336676692551,14,LB,delta
time of max df std,13.293366766925509,14,LB,delta
time of max df,129.08666666666667,14,LB,delta
max df stderr,9.074171113064157e-05,14,LB,delta
max df std,0.0009074171113064157,14,LB,delta
inverse max df std,0.745470997062712,14,LB,delta
max y stderr,0.0007494144349888788,15,LB,delta
max y std,0.007494144349888788,15,LB,delta
max y,0.3191674222203812,15,LB,delta
inverse max df stderr,0.04502696814158628,15,LB,delta
inverse max df std,0.45026968141586277,15,LB,delta
inverse max df,23.886647933946424,15,LB,delta
time of max df,146.51666666666665,15,LB,delta
time of max df std,2.4994999499899975,15,LB,delta
max df stderr,5.4461556815292434e-05,15,LB,delta
max df std,0.0005446155681529244,15,LB,delta
max df,0.029028449046438892,15,LB,delta
lag time,109.74808163330975,15,LB,delta
time of max df stderr,0.24994999499899975,15,LB,delta
lag time std,1.3179882777922618,15,LB,delta
lag time stderr,0.1317988277792262,15,LB,delta
lag time,110.7871733915401,16,LB,delta
lag time stderr,0.12671731072120168,16,LB,delta
max y stderr,0.0006733234529521408,16,LB,delta
lag time std,1.267173107212017,16,LB,delta
max df,0.02845777059056309,16,LB,delta
max df stderr,5.196691138699575e-05,16,LB,delta
time of max df,148.89666666666665,16,LB,delta
max df std,0.0005196691138699575,16,LB,delta
time of max df stderr,0.3414249551512015,16,LB,delta
inverse max df,24.36514748711728,16,LB,delta
inverse max df std,0.44386527914694845,16,LB,delta
inverse max df stderr,0.04438652791469484,16,LB,delta
max y,0.32975651374119136,16,LB,delta
max y std,0.006733234529521408,16,LB,delta
time of max df std,3.4142495515120155,16,LB,delta
inverse max df stderr,0.04748554049816271,17,LB,delta
lag time stderr,0.13932006031051639,17,LB,delta
lag time,110.6430614516211,17,LB,delta
max y stderr,0.0007696785905058155,17,LB,delta
max y std,0.0076967859050581545,17,LB,delta
max y,0.3307099343306645,17,LB,delta
inverse max df std,0.4748554049816271,17,LB,delta
lag time std,1.3932006031051638,17,LB,delta
time of max df stderr,0.3107716203259236,17,LB,delta
time of max df std,3.107716203259236,17,LB,delta
time of max df,147.77666666666667,17,LB,delta
max df stderr,5.5148943376271016e-05,17,LB,delta
max df std,0.0005514894337627102,17,LB,delta
max df,0.028364349195467008,17,LB,delta
inverse max df,24.44649663997517,17,LB,delta
lag time std,1.1294848909678987,18,LB,delta
max df,0.02893044058347741,18,LB,delta
max df std,0.00046540231497249715,18,LB,delta
time of max df,147.49666666666667,18,LB,delta
time of max df std,3.082385439882559,18,LB,delta
time of max df stderr,0.3082385439882559,18,LB,delta
max df stderr,4.654023149724971e-05,18,LB,delta
inverse max df std,0.3867513971364692,18,LB,delta
inverse max df stderr,0.038675139713646924,18,LB,delta
max y,0.3229252487492837,18,LB,delta
max y std,0.007678019833515994,18,LB,delta
max y stderr,0.0007678019833515994,18,LB,delta
lag time,109.87887164421831,18,LB,delta
lag time stderr,0.11294848909678987,18,LB,delta
inverse max df,23.965315617565803,18,LB,delta
max y stderr,0.0006632847225435768,63,LB,delta
max y std,0.006632847225435768,63,LB,delta
max y,0.3133586274686077,63,LB,delta
inverse max df stderr,0.048034069551122646,63,LB,delta
inverse max df std,0.48034069551122643,63,LB,delta
time of max df,152.95666666666665,63,LB,delta
time of max df stderr,0.18400815199332882,63,LB,delta
time of max df std,1.840081519933288,63,LB,delta
max df stderr,4.6838662342569504e-05,63,LB,delta
max df std,0.000468386623425695,63,LB,delta
max df,0.026050707584400753,63,LB,delta
inverse max df,26.616247623231583,63,LB,delta
lag time,113.05160673178098,63,LB,delta
lag time stderr,0.14755757129389308,63,LB,delta
lag time std,1.4755757129389306,63,LB,delta
lag time std,2.0524514799270817,64,LB,delta
lag time stderr,0.20524514799270815,64,LB,delta
lag time,112.17535994417574,64,LB,delta
max y stderr,0.001036922794560435,64,LB,delta
max y std,0.01036922794560435,64,LB,delta
inverse max df stderr,0.06913578654294497,64,LB,delta
inverse max df std,0.6913578654294498,64,LB,delta
max y,0.3351898437261029,64,LB,delta
time of max df stderr,0.4366451648650195,64,LB,delta
time of max df std,4.3664516486501945,64,LB,delta
time of max df,156.87666666666667,64,LB,delta
max df stderr,5.4191812157143204e-05,64,LB,delta
max df std,0.000541918121571432,64,LB,delta
max df,0.02335393537838539,64,LB,delta
inverse max df,29.69613663857634,64,LB,delta
time of max df std,3.2078029864690887,65,LB,delta
max df,0.027733902261366728,65,LB,delta
max df std,0.0005571467834815672,65,LB,delta
max df stderr,5.5714678348156715e-05,65,LB,delta
time of max df,151.06666666666666,65,LB,delta
time of max df stderr,0.3207802986469089,65,LB,delta
lag time std,1.400084589448947,65,LB,delta
inverse max df std,0.5037387773005166,65,LB,delta
inverse max df,25.002891151097337,65,LB,delta
lag time,111.90704847943363,65,LB,delta
max y stderr,0.0007378132391838623,65,LB,delta
lag time stderr,0.14000845894489472,65,LB,delta
max y,0.32019560415938836,65,LB,delta
inverse max df stderr,0.05037387773005166,65,LB,delta
max y std,0.007378132391838623,65,LB,delta
max y stderr,0.00073209801611901,66,LB,delta
max y std,0.0073209801611901,66,LB,delta
max y,0.33204024903453233,66,LB,delta
inverse max df stderr,0.042685945523048156,66,LB,delta
inverse max df std,0.4268594552304816,66,LB,delta
inverse max df,24.30122804235971,66,LB,delta
time of max df stderr,0.332702569872852,66,LB,delta
time of max df,148.19666666666666,66,LB,delta
max df stderr,4.997071410626847e-05,66,LB,delta
max df std,0.0004997071410626847,66,LB,delta
max df,0.028531909187542143,66,LB,delta
lag time std,1.2727995285282785,66,LB,delta
lag time stderr,0.12727995285282784,66,LB,delta
time of max df std,3.3270256987285203,66,LB,delta
lag time,110.65540652208347,66,LB,delta
lag time std,1.4263748271177288,74,LB,delta
lag time,111.29960557985228,74,LB,delta
max y stderr,0.0006649286584523065,74,LB,delta
max y,0.3036831799313443,74,LB,delta
inverse max df stderr,0.048544386137711615,74,LB,delta
inverse max df std,0.48544386137711615,74,LB,delta
inverse max df,24.529384617996953,74,LB,delta
time of max df stderr,0.34428331356602226,74,LB,delta
time of max df std,3.442833135660223,74,LB,delta
time of max df,150.29666666666665,74,LB,delta
max df stderr,5.5760340583003e-05,74,LB,delta
max df std,0.00055760340583003,74,LB,delta
max df,0.02826886023748739,74,LB,delta
lag time stderr,0.14263748271177287,74,LB,delta
max y std,0.006649286584523065,74,LB,delta
