,parameter,value
0,max df,0.010667874068500782
1,max df std,5.251055810902959e-05
2,max df stderr,5.251055810902959e-06
3,time of max df,399.8466666666667
4,time of max df std,3.3011513143144464
5,time of max df stderr,0.33011513143144466
6,inverse max df,64.97676658585563
7,inverse max df std,0.31961376444157136
8,inverse max df stderr,0.031961376444157134
9,max y,0.29808324323471647
10,max y std,0.0019534969826975755
11,max y stderr,0.00019534969826975754
12,lag time,307.2428427581348
13,lag time std,0.860629810604875
14,lag time stderr,0.0860629810604875
