,parameter,value
0,max df,0.007304580250986069
1,max df std,3.6934639816542936e-05
2,max df stderr,3.6934639816542935e-06
3,time of max df,589.7566666666667
4,time of max df std,16.1957370934453
5,time of max df stderr,1.61957370934453
6,inverse max df,94.89455625113195
7,inverse max df std,0.47980286348002577
8,inverse max df stderr,0.047980286348002575
9,max y,0.15667176115554843
10,max y std,0.0008917054055073667
11,max y stderr,8.917054055073667e-05
12,lag time,416.2449545579774
13,lag time std,1.5658753428417305
14,lag time stderr,0.15658753428417305
