,parameter,value
0,max df,0.012706208507863938
1,max df std,0.00020372097420385434
2,max df stderr,2.0372097420385433e-05
3,time of max df,307.93666666666667
4,time of max df std,5.133916633526494
5,time of max df stderr,0.5133916633526494
6,inverse max df,54.56584154181046
7,inverse max df std,0.8728486991782637
8,inverse max df stderr,0.08728486991782637
9,max y,0.27446717658319586
10,max y std,0.005977778706355459
11,max y stderr,0.0005977778706355459
12,lag time,155.50856179353048
13,lag time std,3.0259841295860643
14,lag time stderr,0.30259841295860646
