parameter,value,well_id,carbon,strain
max df,0.007713112130299937,27,glucose,delta
lag time stderr,0.13533450343201658,27,glucose,delta
lag time std,1.3533450343201658,27,glucose,delta
lag time,426.39682142058416,27,glucose,delta
max y stderr,6.822001900684927e-05,27,glucose,delta
max y,0.16378366595375515,27,glucose,delta
inverse max df stderr,0.06097952354569165,27,glucose,delta
max y std,0.0006822001900684927,27,glucose,delta
inverse max df,89.87022220276282,27,glucose,delta
time of max df stderr,0.5143928459844673,27,glucose,delta
time of max df std,5.143928459844673,27,glucose,delta
time of max df,613.7666666666667,27,glucose,delta
max df stderr,5.2348546670910845e-06,27,glucose,delta
max df std,5.2348546670910845e-05,27,glucose,delta
inverse max df std,0.6097952354569165,27,glucose,delta
inverse max df,90.39825259461551,28,glucose,delta
max df std,8.234219260639919e-05,28,glucose,delta
max df stderr,8.234219260639919e-06,28,glucose,delta
time of max df,609.7066666666666,28,glucose,delta
time of max df std,21.245432450293862,28,glucose,delta
time of max df stderr,2.124543245029386,28,glucose,delta
inverse max df std,0.9731419569426727,28,glucose,delta
max df,0.00766859186372696,28,glucose,delta
max y,0.16223347405818353,28,glucose,delta
max y std,0.00114484929269647,28,glucose,delta
max y stderr,0.000114484929269647,28,glucose,delta
lag time,422.25180544270484,28,glucose,delta
lag time std,2.6425124779933196,28,glucose,delta
lag time stderr,0.26425124779933196,28,glucose,delta
inverse max df stderr,0.09731419569426727,28,glucose,delta
lag time,423.39114976555885,29,glucose,delta
max y stderr,9.437814528691128e-05,29,glucose,delta
max y std,0.0009437814528691129,29,glucose,delta
max y,0.162871755118014,29,glucose,delta
inverse max df stderr,0.05268954265948528,29,glucose,delta
time of max df stderr,0.4921950832749144,29,glucose,delta
inverse max df,89.67090407201196,29,glucose,delta
lag time std,1.4864979722531668,29,glucose,delta
time of max df std,4.921950832749144,29,glucose,delta
time of max df,574.2866666666666,29,glucose,delta
max df stderr,4.544555658503032e-06,29,glucose,delta
inverse max df std,0.5268954265948528,29,glucose,delta
lag time stderr,0.14864979722531668,29,glucose,delta
max df,0.007730167684179357,29,glucose,delta
max df std,4.544555658503032e-05,29,glucose,delta
max df std,4.022243900903532e-05,30,glucose,delta
max df stderr,4.0222439009035315e-06,30,glucose,delta
time of max df std,7.164321321660552,30,glucose,delta
time of max df stderr,0.7164321321660552,30,glucose,delta
