parameter,value
max df,0.006802668251466554
max df std,7.7744276464261e-05
max df stderr,7.7744276464261e-06
time of max df,546.2166666666667
time of max df std,6.052065763026704
time of max df stderr,0.6052065763026704
inverse max df,101.90661084457223
inverse max df std,1.153889826281166
inverse max df stderr,0.11538898262811662
max y,0.21458124649685495
max y std,0.0033536636409561226
max y stderr,0.00033536636409561225
lag time,151.70753584455264
lag time std,5.421541839589022
lag time stderr,0.5421541839589021
doubling time,101.89342695206592
