parameter,value
max df,0.010695356794602252
max df std,8.178823273400793e-05
max df stderr,8.178823273400792e-06
time of max df,139.58666666666664
time of max df std,39.034902331119
time of max df stderr,3.9034902331119
inverse max df,64.81202203486413
inverse max df std,0.49545108439694824
inverse max df stderr,0.04954510843969483
max y,0.1306436558937032
max y std,0.0019487292453784783
max y stderr,0.00019487292453784782
lag time,7.966248622341464
lag time std,1.3876657451561176
lag time stderr,0.13876657451561175
doubling time,64.80823350463295
