parameter,value
max df,0.003385897875504438
max df std,2.7319031844580528e-05
max df stderr,2.7319031844580527e-06
time of max df,1016.2666666666669
time of max df std,9.973464794142537
time of max df stderr,0.9973464794142537
inverse max df,204.72924667657273
inverse max df std,1.6525062745565404
inverse max df stderr,0.16525062745565405
max y,0.11724296481865401
max y std,0.0010521101940629705
max y stderr,0.00010521101940629705
lag time,528.9065887515773
lag time std,4.02432850272055
lag time stderr,0.402432850272055
doubling time,204.71591466906804
