parameter,value
max df,0.007528750840155643
max df std,0.00010540482225060172
max df stderr,1.0540482225060172e-05
time of max df,639.1066666666667
time of max df std,40.686562892434154
time of max df stderr,4.068656289243416
inverse max df,92.08452834054604
inverse max df std,1.274237456737084
inverse max df stderr,0.1274237456737084
max y,0.12540472758526494
max y std,0.0008881907911287896
max y stderr,8.881907911287896e-05
lag time,476.27719545138046
lag time std,3.261457924884583
lag time stderr,0.3261457924884583
doubling time,92.06669144407704
