,parameter,value
0,max df,0.0062281797027747806
1,max df std,4.0076082000491325e-05
2,max df stderr,4.007608200049133e-06
3,time of max df,508.1366666666667
4,time of max df std,5.963983568052449
5,time of max df stderr,0.5963983568052449
6,inverse max df,111.29671018282399
7,inverse max df std,0.7169264214177404
8,inverse max df stderr,0.07169264214177404
9,max y,0.20883322660649514
10,max y std,0.0016285190771672493
11,max y stderr,0.00016285190771672494
12,lag time,290.61334459229175
13,lag time std,2.209033705679789
14,lag time stderr,0.2209033705679789
