strain,area_pix,mean_yfp,mean_mCherry,fold_change,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val
delta,386.0,1122.9663212435232,182.89637305699483,0.9275615839410094,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,535.0,1205.3943925233646,184.98878504672896,1.0073702324863647,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,406.0,937.7857142857143,187.74384236453201,0.74826569907265,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,449.0,1069.5946547884187,183.74387527839644,0.8758859775091374,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,450.0,1161.5333333333333,193.76222222222222,0.9649030025321401,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,508.0,1112.2933070866143,191.28346456692913,0.9172277398689272,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,489.0,1406.676891615542,184.67280163599182,1.2022563189731057,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,415.0,981.7397590361446,189.0578313253012,0.7908229596656418,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,342.0,1269.8508771929824,187.57309941520467,1.0697784006212496,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,432.0,1758.912037037037,197.8587962962963,1.543298035584776,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,382.0,929.0706806282723,189.5366492146597,0.7398276142378561,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,518.0,1276.8146718146718,189.90733590733592,1.076520897793331,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,423.0,1096.7352245862885,194.36406619385343,0.9021640665470961,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,579.0,913.9982728842832,189.14507772020724,0.7252341817615766,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,611.0,1058.9819967266776,191.7528641571195,0.8656105715190343,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,447.0,1089.9351230425057,193.71812080536913,0.8955800605676524,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,359.0,940.7576601671309,190.8941504178273,0.751143201611082,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,448.0,1211.0848214285713,191.26116071428572,1.0128798293205084,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,426.0,1228.8920187793428,181.7300469483568,1.0301211444802514,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,398.0,974.8718592964824,190.06281407035175,0.7841733100007043,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,387.0,1269.7390180878554,185.27906976744185,1.0696700962066361,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,552.0,1270.677536231884,181.6231884057971,1.0705787898536818,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,407.0,1026.4619164619164,192.85012285012286,0.8341239236305279,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,457.0,1055.7549234135668,188.04814004376368,0.8624860490611232,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,362.0,1640.3011049723757,175.66298342541435,1.4284563555138192,0.0,20181019,acetate,37,O2,1,156.54094550394368,186.4074861930127
delta,353.0,1085.3626062322946,177.39660056657223,0.8911528504994348,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,417.0,1280.6906474820144,180.44364508393286,1.0802737016015762,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,551.0,1249.2867513611616,188.5426497277677,1.0498677674392305,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,422.0,1109.5308056872038,186.6398104265403,0.9145530260260775,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,434.0,1262.23732718894,179.43778801843317,1.0624067961784838,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,521.0,1552.4971209213052,173.81381957773513,1.3434426314849806,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,385.0,959.9090909090909,190.85454545454544,0.76968603273031,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,424.0,1449.4080188679245,191.14622641509433,1.2436295242887354,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,431.0,2036.8677494199535,186.9953596287703,1.8124207921446183,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,318.0,910.8616352201258,182.85220125786162,0.7221972210627997,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,349.0,1322.2234957020057,191.9140401146132,1.120486707137319,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,437.0,1444.4096109839818,184.94965675057207,1.238789957234672,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,442.0,1077.3484162895927,191.92760180995475,0.8833933377681302,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,360.0,1290.6138888888888,191.23055555555555,1.0898815994156992,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,368.0,1011.1521739130435,190.44565217391303,0.8193006984424155,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,521.0,1474.071017274472,194.60652591170825,1.2675087749049534,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,340.0,922.6176470588235,197.13823529411764,0.7335796470077717,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
delta,394.0,1263.3908629441623,183.37055837563452,1.0635236745458119,0.0,20181019,acetate,37,O2,1,157.39794675075086,186.29035208653934
