alpha,log_prob
750.3890558573687,-2070.3622769278563
770.4102683753218,-2069.126057260941
858.1486548328216,-2068.3727866139793
961.3861491556452,-2069.337153610383
917.9721303979353,-2069.0251759616085
869.9818619066542,-2068.4342874500976
887.9860327620935,-2068.451221201506
914.7690912257457,-2069.672878338774
812.4046918335978,-2071.6763279404845
970.329930691087,-2069.757582018079
861.9944213760077,-2068.7723963302446
847.5669326506813,-2069.435152946481
880.1238631537012,-2068.986216057772
870.1083163860725,-2069.1980747334046
790.3789136875271,-2068.7979639955224
893.8122932974546,-2069.4474705731855
704.9543114739655,-2071.1937650117934
767.757284220139,-2070.5438504996237
754.8558864206354,-2070.139859444769
806.3419202049175,-2068.8156486582084
791.9788503652554,-2069.9043868751764
774.928467632842,-2069.821285632748
920.7751257347416,-2068.6908542625356
857.3072732472633,-2068.354096812559
841.6939359563039,-2068.7625523585816
716.5064465492949,-2071.0604536856226
1028.8849611978599,-2071.9278064887267
775.9448239483281,-2072.151885475297
818.4471531490682,-2068.7829645060197
828.165727611801,-2069.258839006834
831.0408527235022,-2069.589859828781
838.7908077497384,-2068.402471440718
838.7908077497384,-2068.402471440718
838.7908077497384,-2068.402471440718
877.4770553902107,-2068.5127303182703
878.3211452523053,-2068.391646394563
765.9702570186798,-2069.7786668435965
948.3219745932612,-2069.1229793469497
827.5178667676298,-2069.602224223517
724.2179547877766,-2071.034656612565
704.8248336733824,-2070.898982372074
921.9301086724957,-2069.197026621664
823.2570158072258,-2071.7896403351433
823.2869165436074,-2072.2866421727895
793.2882087847875,-2071.971280633929
789.9741851023313,-2068.887371086254
789.9741851023313,-2068.887371086254
841.628939744613,-2069.047559822003
841.628939744613,-2069.047559822003
714.8329170176551,-2070.543753992545
945.1835987884473,-2069.3145303345464
905.7298715095553,-2070.31362773734
839.0628104936173,-2071.9607784641134
849.5925042106202,-2069.385119892045
984.2407692870843,-2070.5506358621233
876.0633977733521,-2069.5555070382266
823.8015579832246,-2069.063747963616
714.9610717416706,-2071.861113968324
750.8089737942372,-2069.876732728392
944.4933385303489,-2069.4170663070854
885.4338996825308,-2069.4193588587377
848.2765433513894,-2068.348856559372
867.0131210229844,-2068.5879684162746
786.0760678831942,-2069.3353055703215
909.6579429608023,-2070.130424448548
824.8297653399089,-2069.2681311621623
792.1393219545502,-2070.4365330752717
826.4469006025685,-2070.915522044698
840.1040748449665,-2068.528932772296
865.3090619329022,-2069.040171859156
900.0490015431028,-2071.6868141590226
829.9321988528708,-2069.8163411752384
740.9097886514143,-2071.5821379355175
869.2406306641209,-2070.14195113992
800.9591477731193,-2070.142022039119
793.5750453505468,-2070.137864912609
818.9224220185876,-2069.426361832475
732.9074050834845,-2069.8406324153234
967.2161707603267,-2069.5198068246696
1072.0136836635356,-2071.4752022651933
917.7773104938727,-2070.1455623203665
946.227465767959,-2072.363423169675
826.621217646703,-2069.261465756577
907.4992582869711,-2071.091324141621
767.8748356388019,-2071.117109419189
989.2210712839521,-2069.5560081075164
779.052368166974,-2070.405870722236
804.5347088390116,-2069.741682544863
867.0837181909585,-2069.939281677133
867.0837181909585,-2069.939281677133
881.8672314415348,-2068.721752763567
828.6717979751675,-2069.708120378547
902.317286538532,-2068.6849722860907
779.000726226061,-2069.0590651142547
856.7793791791745,-2069.286841422315
954.6054317253323,-2069.815688569728
1011.2450054660823,-2070.9239015373487
890.3801965183264,-2068.9722986196434
814.0855486408526,-2069.3643026810914
742.2578655747694,-2071.4613412530784
984.0610605662013,-2069.4738972994764
1040.7342650885266,-2070.864968200754
1029.910660244179,-2072.1815645287224
1072.32118853608,-2072.010229129932
951.6904576737797,-2069.63564185135
871.6288035124193,-2068.425245275526
747.2935697005132,-2069.9959962337102
716.4485703735053,-2070.3616251204003
886.3419253073228,-2068.5347027181865
818.6977929010812,-2068.5616841767524
765.3892077276048,-2070.075399532728
737.6220373478084,-2070.778788226233
791.5978106951584,-2070.9434021393386
779.5082497154013,-2069.4247428000335
707.8395870139703,-2074.675920488553
790.8446726300314,-2068.7502738132666
767.0297119486552,-2069.067851447449
705.963023669493,-2071.1026148893875
892.2898166902143,-2068.685979393173
896.2799832251573,-2071.2319660545622
812.2600894179417,-2068.961181430708
1061.595732745046,-2071.7052515306364
1057.3404106361666,-2070.9052288759353
1040.7393599139455,-2070.4969251901102
864.8886819249246,-2069.0914299995356
826.8880167508739,-2069.646622922077
826.8880167508739,-2069.646622922077
962.9850821997225,-2069.960469770231
961.9686828418322,-2069.7975754793038
1007.0720458432195,-2071.4342710731444
786.4747674219424,-2068.8031562172428
829.186434798091,-2068.9230969902237
820.7408703376423,-2068.7576623938658
869.0393621357401,-2068.971831433021
889.4578968409735,-2069.2749742975548
948.0379214361316,-2070.102040092235
765.78507500683,-2069.879556916035
900.3555500291301,-2068.575629109012
910.0851885353632,-2068.9549498190513
917.6938338098421,-2070.285543156819
929.7658869626932,-2071.083282193973
920.4718453705354,-2068.8398745411714
808.0329630470299,-2070.713891060831
910.5209688638122,-2073.548365752973
794.401546394595,-2075.793847764183
884.3228129489254,-2070.4033288999512
886.9035167812665,-2070.342407147371
952.8754607351109,-2072.027867235306
766.7048760089268,-2072.0659192731746
1002.5608660670764,-2074.8668035720366
1002.5608660670764,-2074.8668035720366
772.418020371266,-2071.2525911316216
735.6787341605885,-2070.57381136672
897.4575173141237,-2070.0528303763967
1051.2741403966395,-2071.5914006869284
766.0935688455146,-2070.460428788545
769.9901844825049,-2069.402842694886
1019.5169954475514,-2070.350275534249
1019.5169954475514,-2070.350275534249
878.897761284309,-2068.5922000661285
772.0426500355104,-2069.2316179413247
833.4055365900583,-2070.8947172841513
