,parameter,value
0,max df,0.006622109002292772
1,max df std,3.6466646575130845e-05
2,max df stderr,3.6466646575130845e-06
3,time of max df,544.8866666666667
4,time of max df std,5.136302171796359
5,time of max df stderr,0.5136302171796359
6,inverse max df,104.67484245250509
7,inverse max df std,0.5768735496056276
8,inverse max df stderr,0.057687354960562764
9,max y,0.14595076188726766
10,max y std,0.0009470486211482222
11,max y stderr,9.470486211482222e-05
12,lag time,339.31992227008925
13,lag time std,1.7124952411470937
14,lag time stderr,0.17124952411470937
