,parameter,value
0,max df,0.027031667169675894
1,max df std,0.00031239436233126587
2,max df stderr,3.1239436233126584e-05
3,time of max df,143.43666666666667
4,time of max df std,3.414249551512015
5,time of max df stderr,0.3414249551512015
6,inverse max df,25.645459589674097
7,inverse max df std,0.29565400605516484
8,inverse max df stderr,0.029565400605516483
9,max y,0.30944154207303076
10,max y std,0.006829812588649493
11,max y stderr,0.0006829812588649493
12,lag time,83.10926351113962
13,lag time std,1.3186484598500625
14,lag time stderr,0.13186484598500625
