,parameter,value
0,max df,0.006822296862172617
1,max df std,0.0003690728758978944
2,max df stderr,3.690728758978944e-05
3,time of max df,146.09666666666664
4,time of max df std,56.99302676643869
5,time of max df stderr,5.699302676643869
6,inverse max df,101.88754816583207
7,inverse max df std,5.328953878018997
8,inverse max df stderr,0.5328953878018997
9,max y,0.10281792929692496
10,max y std,0.0018019449011750426
11,max y stderr,0.00018019449011750426
12,lag time,105.55719826352251
13,lag time std,3.3897488015498083
14,lag time stderr,0.33897488015498084
