parameter,value,well_id,carbon,strain
max df,0.008143009181049649,39,glucose,manuel_delta
lag time std,2.3504982809614696,39,glucose,manuel_delta
lag time,119.80836127652734,39,glucose,manuel_delta
max y stderr,0.00011272453445446873,39,glucose,manuel_delta
max y std,0.0011272453445446873,39,glucose,manuel_delta
max y,0.09575382735673577,39,glucose,manuel_delta
inverse max df stderr,0.2062208045504307,39,glucose,manuel_delta
lag time stderr,0.23504982809614697,39,glucose,manuel_delta
inverse max df,85.1708976044161,39,glucose,manuel_delta
time of max df stderr,0.4348459497339248,39,glucose,manuel_delta
time of max df std,4.348459497339248,39,glucose,manuel_delta
time of max df,172.69666666666663,39,glucose,manuel_delta
max df stderr,1.9422651577371988e-05,39,glucose,manuel_delta
max df std,0.00019422651577371988,39,glucose,manuel_delta
inverse max df std,2.062208045504307,39,glucose,manuel_delta
lag time std,0.2439181278414624,40,glucose,manuel_delta
lag time,104.21614274306539,40,glucose,manuel_delta
max y stderr,0.0002672497736751021,40,glucose,manuel_delta
max y std,0.002672497736751021,40,glucose,manuel_delta
max y,0.09587858958212951,40,glucose,manuel_delta
inverse max df stderr,0.6840866664663914,40,glucose,manuel_delta
time of max df stderr,1.4655933951816233,40,glucose,manuel_delta
inverse max df,74.86070665816017,40,glucose,manuel_delta
time of max df std,14.655933951816234,40,glucose,manuel_delta
time of max df,108.22666666666667,40,glucose,manuel_delta
max df stderr,8.542839487105757e-05,40,glucose,manuel_delta
lag time stderr,0.02439181278414624,40,glucose,manuel_delta
inverse max df std,6.840866664663914,40,glucose,manuel_delta
max df std,0.0008542839487105758,40,glucose,manuel_delta
max df,0.009336792408400718,40,glucose,manuel_delta
lag time stderr,0.09180556629820166,41,glucose,manuel_delta
lag time,104.43456247723827,41,glucose,manuel_delta
max y stderr,0.00011095960145287252,41,glucose,manuel_delta
max y std,0.0011095960145287252,41,glucose,manuel_delta
max y,0.10035666911415923,41,glucose,manuel_delta
inverse max df stderr,0.3632498844959236,41,glucose,manuel_delta
inverse max df std,3.632498844959236,41,glucose,manuel_delta
inverse max df,92.57443861072392,41,glucose,manuel_delta
