alpha,log_prob
618.0362369439335,-6130.797537159547
610.3596359745278,-6132.687131113224
680.1435153471322,-6132.28167722768
603.0007008582834,-6133.049933402188
615.28872780142,-6130.92976958843
672.5096698099799,-6130.618248305121
623.3032123235729,-6131.194352392188
591.2355371493172,-6132.6347649537465
701.0004228460349,-6132.495694027998
660.6712497626035,-6131.036780323185
627.4308474055772,-6131.031530381166
627.4646884075372,-6131.1992358928255
646.2540505272063,-6130.2043258936255
613.2023433914948,-6133.7594620918035
629.8036469690473,-6131.858838714191
608.6091035714439,-6132.522232693763
600.8357846783631,-6134.728567247258
587.2555754153335,-6136.198865039328
587.2555754153335,-6136.198865039328
587.2555754153335,-6136.198865039328
647.0119010663317,-6132.227685983846
654.4431471851289,-6131.002098682407
610.2668940478368,-6130.899518633502
630.8592033842496,-6130.463208229661
642.8073920768936,-6130.366624578162
589.2525671940283,-6135.368868501614
674.3314795074967,-6132.443436542537
650.5426394590877,-6132.136602270316
651.6715690944283,-6130.673462064016
580.5019974507536,-6131.735457214979
663.2762950942263,-6130.271849925308
732.1081256581176,-6132.889731339044
570.3714870914107,-6133.854369578386
674.1137041601372,-6133.234298748885
660.5131767178416,-6130.830612112318
628.7244836743326,-6131.035630682157
627.6981588928043,-6131.677077368534
652.1899757021082,-6131.569589945874
660.5595068939556,-6130.992531445264
632.6088421449626,-6130.56902912735
598.7919646475474,-6131.03119852709
700.5234659825721,-6131.360668225751
635.6189076048457,-6130.223986778571
632.058644015901,-6130.424911698235
608.2916064898441,-6130.863267641625
648.2970043154816,-6130.235345306116
626.5536544719383,-6130.568355906626
622.5786550001365,-6130.665333569901
620.0123579113524,-6131.181059918246
667.3859664544345,-6131.891713025763
615.1072707089139,-6131.510337100488
638.6575379373387,-6131.450998543453
655.6299696226815,-6131.193320288234
599.3369643059054,-6132.087148235084
675.5979308783244,-6131.864058340203
675.5979308783244,-6131.864058340203
666.0152288889059,-6130.608587219445
721.4007142387467,-6132.75703756064
579.2937358536682,-6133.128210315728
584.001781526513,-6132.743630370283
707.4027720136665,-6132.67659439528
695.3849367708276,-6132.091254581362
739.048722420717,-6135.8761335176505
710.3816808095571,-6132.166082547411
590.1286308276775,-6131.410553976271
670.3754831238774,-6130.506319544833
667.3365371584403,-6130.614210519417
681.2729247744568,-6131.411921945337
639.6232794497504,-6130.319917942579
671.8710024116299,-6130.402417531909
636.2913953322376,-6131.783753579245
617.8040879425503,-6131.794438268691
594.698311697022,-6134.311485659887
612.991254268164,-6133.488794228207
691.104432444532,-6132.039306550147
672.3415052188832,-6131.319294319528
598.8335326678178,-6133.25789893832
576.5455149425259,-6132.010781450302
658.0528991196782,-6130.271414875999
662.8450010480962,-6130.260455517757
620.6056920957752,-6130.2164796790075
575.4605021976643,-6133.377397986633
697.619434223574,-6131.758174784373
668.0055627046297,-6130.768317341427
653.7351792281285,-6131.036930371538
660.7935429199623,-6134.06627008776
686.490294754669,-6130.860551010657
616.6895352945505,-6131.363057157587
619.2190553424073,-6131.8187150687845
664.2802826703526,-6132.052675775566
665.5870789539019,-6132.112500416058
731.9881449895394,-6133.464092794101
638.8626393568622,-6130.860724460845
609.0905326714626,-6130.897355264764
648.611592778218,-6130.2976739705855
614.7466323599854,-6130.540576085818
644.1346772432438,-6132.060079230836
675.4262784873727,-6133.048417794581
612.2811101644346,-6132.715376377693
634.8684035169479,-6135.713492050778
595.0540539238144,-6132.461838111268
688.0235738545589,-6131.298557639897
583.0132819519578,-6131.750938142253
608.3588484596803,-6133.001821022001
631.9090784457665,-6130.591438394234
630.7131925072733,-6130.986049062825
632.9247960820724,-6130.417499578822
638.973481360656,-6130.5947874832245
690.125025442683,-6131.101421323915
651.9283534112576,-6130.76653967469
654.1483922519433,-6130.241993575393
636.4154398769862,-6130.186733612982
639.9530298113773,-6130.480516844778
651.5654784545429,-6130.414221333268
642.1439319803367,-6130.385779127911
693.6242618091923,-6131.33945054057
657.3437885445524,-6130.171726737185
628.2616853257408,-6130.4844109336855
596.5558879565301,-6131.471672908594
697.63968716432,-6131.210494188799
616.9135937477973,-6132.48910714524
670.2511144566046,-6131.6688831331585
601.4052912448936,-6132.372893352441
615.3290094820077,-6131.698553724984
625.9131972233907,-6130.177775464194
657.8905765338201,-6130.40476499633
636.078413629396,-6130.549852611101
688.3124159585021,-6132.226719909298
