,parameter,value
0,max df,0.008143997871055748
1,max df std,4.063542495918081e-05
2,max df stderr,4.063542495918081e-06
3,time of max df,405.9366666666667
4,time of max df std,30.333432051121434
5,time of max df stderr,3.0333432051121436
6,inverse max df,85.11353295400944
7,inverse max df std,0.42452920519883697
8,inverse max df stderr,0.0424529205198837
9,max y,0.21936797461799618
10,max y std,0.0015587304739598817
11,max y stderr,0.00015587304739598818
12,lag time,210.51098537274865
13,lag time std,1.8436055393064406
14,lag time stderr,0.18436055393064404
