,parameter,value
0,max df,0.0053405809185993235
1,max df std,0.0003708136364239906
2,max df stderr,3.708136364239906e-05
3,time of max df,69.16666666666667
4,time of max df std,0.0
5,time of max df stderr,0.0
6,inverse max df,130.42590886990072
7,inverse max df std,9.222537185527502
8,inverse max df stderr,0.9222537185527502
9,max y,0.03501883115399742
10,max y std,0.0010989823500224284
11,max y stderr,0.00010989823500224284
12,lag time,69.16666654166403
13,lag time std,6.9505993237365e-07
14,lag time stderr,6.9505993237365e-08
