parameter,value,well_id,carbon,strain
max df,0.010128597079482264,56,glucose,delta
lag time std,1.3944219717365443,56,glucose,delta
lag time,106.0305117894525,56,glucose,delta
max y stderr,0.00023954692601429144,56,glucose,delta
max y std,0.0023954692601429145,56,glucose,delta
max y,0.17721911717017907,56,glucose,delta
inverse max df stderr,0.11635322996154444,56,glucose,delta
lag time stderr,0.13944219717365441,56,glucose,delta
inverse max df,68.45472151188251,56,glucose,delta
time of max df stderr,2.4933760245899528,56,glucose,delta
time of max df std,24.933760245899528,56,glucose,delta
time of max df,154.42666666666665,56,glucose,delta
max df stderr,1.74639426397115e-05,56,glucose,delta
max df std,0.000174639426397115,56,glucose,delta
inverse max df std,1.1635322996154445,56,glucose,delta
max df stderr,1.1038923724198708e-05,57,glucose,delta
time of max df,194.18666666666664,57,glucose,delta
time of max df std,24.470382097548043,57,glucose,delta
time of max df stderr,2.4470382097548042,57,glucose,delta
inverse max df,66.10306017522258,57,glucose,delta
inverse max df std,0.6953561303501101,57,glucose,delta
max y stderr,0.00018722233764866073,57,glucose,delta
max y,0.16957782472021074,57,glucose,delta
max y std,0.0018722233764866072,57,glucose,delta
lag time,108.16450156431704,57,glucose,delta
lag time std,1.6403413255662798,57,glucose,delta
lag time stderr,0.16403413255662797,57,glucose,delta
max df std,0.00011038923724198707,57,glucose,delta
inverse max df stderr,0.06953561303501102,57,glucose,delta
max df,0.010487017263588048,57,glucose,delta
lag time stderr,0.1880814128734259,58,glucose,delta
lag time std,1.8808141287342588,58,glucose,delta
max df,0.009642811476783602,58,glucose,delta
max df std,0.0001927656727423208,58,glucose,delta
max df stderr,1.927656727423208e-05,58,glucose,delta
time of max df,221.1366666666667,58,glucose,delta
time of max df stderr,6.8766191547882,58,glucose,delta
inverse max df,71.90984529648013,58,glucose,delta
time of max df std,68.766191547882,58,glucose,delta
inverse max df stderr,0.13798769617957835,58,glucose,delta
max y,0.1765495942431115,58,glucose,delta
max y std,0.0015058951330171265,58,glucose,delta
max y stderr,0.00015058951330171265,58,glucose,delta
lag time,106.9292868903619,58,glucose,delta
inverse max df std,1.3798769617957836,58,glucose,delta
inverse max df stderr,0.06755135800015086,59,glucose,delta
lag time,104.85139323212415,59,glucose,delta
max y stderr,7.99947562228989e-05,59,glucose,delta
max y std,0.000799947562228989,59,glucose,delta
max y,0.17229033737282787,59,glucose,delta
inverse max df std,0.6755135800015085,59,glucose,delta
max df,0.009645865706599616,59,glucose,delta
time of max df stderr,1.3490945111444184,59,glucose,delta
time of max df std,13.490945111444184,59,glucose,delta
time of max df,140.2866666666667,59,glucose,delta
max df stderr,9.116731457684673e-06,59,glucose,delta
max df std,9.116731457684673e-05,59,glucose,delta
lag time std,0.5460803302050796,59,glucose,delta
inverse max df,71.86589327085132,59,glucose,delta
lag time stderr,0.054608033020507964,59,glucose,delta
