,parameter,value
0,max df,0.009963030841095318
1,max df std,0.0002472737889740743
2,max df stderr,2.472737889740743e-05
3,time of max df,184.59666666666672
4,time of max df std,58.03244868175043
5,time of max df stderr,5.803244868175043
6,inverse max df,69.61230614646624
7,inverse max df std,1.6294164839557623
8,inverse max df stderr,0.16294164839557623
9,max y,0.17615388439573143
10,max y std,0.002280246801668843
11,max y stderr,0.0002280246801668843
12,lag time,106.17615822431598
13,lag time std,2.0166712576352492
14,lag time stderr,0.2016671257635249
