clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date,,,,,
09h22m,32,0.02,2,glycerol,37,O2,20180924,,,,,
09h22m,32,0.02,2,glycerol,37,O2,20180924,,,,,
09h22m,32,0.02,2,glycerol,37,O2,20180924,,,,,
10h22m,92,0.07,2,glycerol,37,O2,20180924,,,,,
10h22m,92,0.08,2,glycerol,37,O2,20180924,,,,,
10h22m,92,0.08,2,glycerol,37,O2,20180924,,,,,
10h50m,120,0.1,2,glycerol,37,O2,20180924,,,,,
10h50m,120,0.1,2,glycerol,37,O2,20180924,,,,,
10h50m,120,0.11,2,glycerol,37,O2,20180924,,,,,
11h20m,150,0.14,2,glycerol,37,O2,20180924,,,,,
11h20m,150,0.14,2,glycerol,37,O2,20180924,,,,,
11h20m,150,0.15,2,glycerol,37,O2,20180924,,,,,
11h51m,181,0.19,2,glycerol,37,O2,20180924,,,,,
11h51m,181,0.2,2,glycerol,37,O2,20180924,,,,,
11h51m,181,0.21,2,glycerol,37,O2,20180924,,,,,
12h25m,215,0.21,2,glycerol,37,O2,20180924,,,,,
12h25m,214,0.22,2,glycerol,37,O2,20180924,,,,,
12h25m,215,0.22,2,glycerol,37,O2,20180924,,,,,   
12h54m,244,0.28,2,glycerol,37,O2,20180924,,,,,
12h54m,244,0.28,2,glycerol,37,O2,20180924,,,,,
12h54m,244,0.29,2,glycerol,37,O2,20180924,,,,,
13h19m,269,0.35,2,glycerol,37,O2,20180924,,,,,
13h19m,269,0.36,2,glycerol,37,O2,20180924,,,,,
13h19m,269,0.36,2,glycerol,37,O2,20180924,,,,,
13h54m,304,0.44,2,glycerol,37,O2,20180924,,,,,
13h54m,304,0.44,2,glycerol,37,O2,20180924,,,,,
13h54m,304,0.44,2,glycerol,37,O2,20180924,,,,,
14h20m,330,0.52,2,glycerol,37,O2,20180924,,,,,
14h20m,330,0.52,2,glycerol,37,O2,20180924,,,,,
14h20m,330,0.52,2,glycerol,37,O2,20180924,,,,,
14h53m,363,0.57,2,glycerol,37,O2,20180924,,,,,
14h53m,363,0.57,2,glycerol,37,O2,20180924,,,,,
14h53m,363,0.57,2,glycerol,37,O2,20180924,,,,,
15h20m,390,0.64,2,glycerol,37,O2,20180924,,,,,
15h20m,390,0.64,2,glycerol,37,O2,20180924,,,,,
15h20m,390,0.64,2,glycerol,37,O2,20180924,,,,,
15h51m,421,0.71,2,glycerol,37,O2,20180924,,,,,
15h51m,421,0.71,2,glycerol,37,O2,20180924,,,,,
15h51m,421,0.71,2,glycerol,37,O2,20180924,,,,,
16h20m,450,0.77,2,glycerol,37,O2,20180924,,,,,
16h20m,450,0.77,2,glycerol,37,O2,20180924,,,,,
16h20m,450,0.76,2,glycerol,37,O2,20180924,,,,,
16h50m,480,0.83,2,glycerol,37,O2,20180924,,,,,
16h50m,480,0.83,2,glycerol,37,O2,20180924,,,,,
16h50m,480,0.83,2,glycerol,37,O2,20180924,,,,,
17h22m,512,0.9,2,glycerol,37,O2,20180924,,,,,
17h22m,512,0.9,2,glycerol,37,O2,20180924,,,,,
17h22m,512,0.9,2,glycerol,37,O2,20180924,,,,,
17h50m,540,0.94,2,glycerol,37,O2,20180924,,,,,
17h50m,540,0.94,2,glycerol,37,O2,20180924,,,,,
17h50m,540,0.94,2,glycerol,37,O2,20180924,,,,,
18h18m,568,1.01,2,glycerol,37,O2,20180924,,,,,
18h18m,568,1.01,2,glycerol,37,O2,20180924,,,,,
18h18m,568,1.01,2,glycerol,37,O2,20180924,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,        
