deltaglucose,deltaapromycin1000,deltaapromycin1500,deltaapromycin2000,deltarifampicin2800,deltarifampicin3200,deltarifampicin3600,deltarifampicin4000,deltarifampicin6000,deltarifampicin8000
300,350,400,600,300,250,350,250,430,500
600,650,750,930,600,600,600,650,1000,1000
