,parameter,value
0,max df,0.011920433841758117
1,max df std,0.00011066951088294006
2,max df stderr,1.1066951088294007e-05
3,time of max df,299.88666666666666
4,time of max df std,3.558314207598874
5,time of max df stderr,0.3558314207598874
6,inverse max df,58.152824748167006
7,inverse max df std,0.5396516731602019
8,inverse max df stderr,0.05396516731602019
9,max y,0.15877670615039075
10,max y std,0.001996236387940037
11,max y stderr,0.0001996236387940037
12,lag time,211.6660426419538
13,lag time std,1.564159389708498
14,lag time stderr,0.1564159389708498
