parameter,value
max df,0.010372517233980118
max df std,9.011101224182235e-05
max df stderr,9.011101224182235e-06
time of max df,179.27666666666673
time of max df std,60.50733757157061
time of max df stderr,6.050733757157061
inverse max df,66.830393338078
inverse max df std,0.5796074861418107
inverse max df stderr,0.05796074861418107
max y,0.1318479366817998
max y std,0.0028867942970664784
max y stderr,0.00028867942970664783
lag time,9.690709119907986
lag time std,2.565092040316491
lag time stderr,0.2565092040316491
doubling time,66.82535829289459
