,parameter,value
0,max df,0.006423931840335859
1,max df std,0.00010781813772437115
2,max df stderr,1.0781813772437115e-05
3,time of max df,605.3666666666667
4,time of max df std,8.742997197757758
5,time of max df stderr,0.8742997197757758
6,inverse max df,107.931147534963
7,inverse max df std,1.8105909592385827
8,inverse max df stderr,0.18105909592385827
9,max y,0.18020157791502872
10,max y std,0.003143400796953657
11,max y stderr,0.0003143400796953657
12,lag time,432.0133763949847
13,lag time std,5.402515147633463
14,lag time stderr,0.5402515147633463
