,parameter,value
0,max df,0.010180854082972422
1,max df std,0.00033207199641131975
2,max df stderr,3.320719964113198e-05
3,time of max df,311.4366666666667
4,time of max df std,64.61947926128781
5,time of max df stderr,6.461947926128781
6,inverse max df,68.15409855279569
7,inverse max df std,2.1692647821181503
8,inverse max df stderr,0.21692647821181504
9,max y,0.1444015739960762
10,max y std,0.004438828803588166
11,max y stderr,0.0004438828803588166
12,lag time,206.71626986864158
13,lag time std,5.303738863198919
14,lag time stderr,0.5303738863198919
