,parameter,value
0,max df,0.011735308154783696
1,max df std,0.00017913225339192786
2,max df stderr,1.7913225339192787e-05
3,time of max df,243.39666666666665
4,time of max df std,13.460947217785248
5,time of max df stderr,1.3460947217785248
6,inverse max df,59.078671526528545
7,inverse max df std,0.8891914026447462
8,inverse max df stderr,0.08891914026447462
9,max y,0.22591705070276136
10,max y std,0.0029890573860692866
11,max y stderr,0.0002989057386069287
12,lag time,202.82194387955846
13,lag time std,0.5582169333251669
14,lag time stderr,0.055821693332516686
