,parameter,value
0,max df,0.011647202925796933
1,max df std,8.862356877042181e-05
2,max df stderr,8.86235687704218e-06
3,time of max df,425.5366666666668
4,time of max df std,3.4428331356602224
5,time of max df stderr,0.34428331356602226
6,inverse max df,59.51535859633885
7,inverse max df std,0.454517187455659
8,inverse max df stderr,0.0454517187455659
9,max y,0.20277567290817153
10,max y std,0.0019605367846790367
11,max y stderr,0.00019605367846790367
12,lag time,337.80911761854316
13,lag time std,1.2430123683462027
14,lag time stderr,0.12430123683462027
