,area,cell_id,corrected_intensity,mean_intensity,time,norm,resid
0,2.3520000000000003,1.0,942.6639207881797,523.0588535566959,0.0,1.0,0.0
61,2.3520000000000003,1.0,477.0867593204184,321.05326956235643,1.0,0.5061048256960093,5.753998294072839
122,2.3520000000000003,1.0,277.80908215552375,234.68271107845842,2.0,0.2947063911422877,1.1094355489638608
183,2.3520000000000003,1.0,166.73564830453265,186.55157884319252,3.0,0.17687708697403176,1.053201966762638
244,2.3520000000000003,1.0,115.71391695685176,164.30010062043476,4.0,0.12275203750250789,0.5778744671634282
305,2.3520000000000003,1.0,94.54150966090221,154.87353940631922,5.0,0.10029185118472998,0.09905434369785868
366,2.3520000000000003,1.0,73.5826741378192,145.67163254194492,6.0,0.07805822681353423,0.0754840142041995
427,2.3520000000000003,1.0,57.81630088345217,138.7684504396475,7.0,0.06133288822076784,0.08763344941565063
488,2.3520000000000003,1.0,55.97682023375384,137.79815938658007,8.0,0.05938152399738661,2.0335509957208962e-05
549,2.3520000000000003,1.0,45.20237325041263,132.9892761514551,9.0,0.04795173789256519,0.004827118058560803
610,2.3520000000000003,1.0,37.44786585890408,129.58846345125096,10.0,0.03972557454791861,0.011713262463669947
671,2.3520000000000003,1.0,36.24512168139194,128.93232916413706,11.0,0.03844967531067349,0.0001522836727894233
732,2.3520000000000003,1.0,30.71572316254554,126.46653372729936,12.0,0.03258395965432041,0.0011152399219671895
793,2.3520000000000003,1.0,24.1248730119766,123.59846361172512,13.0,0.025592231207709024,0.019963219995050584
854,2.3520000000000003,1.0,22.899171491330247,122.98056519839433,14.0,0.02429197828233821,0.00742850472515347
915,2.3520000000000003,1.0,15.214676970458443,119.60487373464336,15.0,0.016140086233211465,0.07275998510996412
976,2.3520000000000003,1.0,17.005530404489466,120.20037004983716,16.0,0.018039865565524997,0.02210370418901568
1037,2.3520000000000003,1.0,12.65558505351508,118.13382432478265,17.0,0.013425341497034808,0.0520333822756395
1098,2.3520000000000003,1.0,9.569027943776836,116.78102548362315,18.0,0.01015104931116488,0.08005166561579431
1159,2.3520000000000003,1.0,13.503843688722972,118.37792229248151,19.0,0.01432519415555031,0.01179680087390967
1220,2.3520000000000003,1.0,10.236373215195464,116.89797912840926,20.0,0.010858984829542041,0.033737912759304586
1281,2.3520000000000003,1.0,6.735447776279184,115.42162089202371,21.0,0.007145120999907947,0.06919664005414357
1342,2.3520000000000003,1.0,5.78057143942127,115.00024550434809,22.0,0.006132165782464679,0.07274265238716915
1403,2.3520000000000003,1.0,8.684479412958948,116.1595721921494,23.0,0.009212699480104941,0.022819656379049195
1464,2.3520000000000003,1.0,6.818104554540497,115.35143264157857,24.0,0.007232805249234263,0.034222403791749414
1525,2.3520000000000003,1.0,6.195663312075269,115.07147603879002,25.0,0.006572504978120892,0.034055412970519595
1586,2.3520000000000003,1.0,7.188728428937515,115.43627033024154,26.0,0.007625971749217769,0.019477841333446225
1647,2.3520000000000003,1.0,10.241366404942521,116.69947577265015,27.0,0.010864281722355,0.00039277058129602376
1708,2.3520000000000003,1.0,7.829465465815161,115.63180529439919,28.0,0.008305680628223039,0.006818412077416105
1769,2.3520000000000003,1.0,4.6779443205109965,114.27770231118426,29.0,0.004962473069511005,0.028307719477669573
1830,2.3520000000000003,1.0,9.225833743007732,116.19867775244484,30.0,0.009786980852405841,4.8899262849149016e-05
1891,2.3520000000000003,1.0,6.307992450839456,114.96330749326924,31.0,0.006691666363517149,0.008663608675656964
1952,2.3520000000000003,1.0,6.9120109371619005,115.13434446831334,32.0,0.007332423342756805,0.0035377658656231977
2013,2.3520000000000003,1.0,1.2855029686374408,112.7333330335172,33.0,0.0013636917042105599,0.056198494236862136
2074,2.3520000000000003,1.0,2.0485265821724394,113.00477854491724,34.0,0.0021731250523088085,0.04251506689737954
2135,2.3520000000000003,1.0,1.4590740741850703,112.786331753291,35.0,0.0015478200045729023,0.04785465827663426
2196,2.3520000000000003,1.0,4.975425679665122,114.25865280044036,36.0,0.005278048273561878,0.008888739616064614
2257,2.3520000000000003,1.0,5.670836864902163,114.51978961372089,37.0,0.006015756771682389,0.004309186958684735
2318,2.3520000000000003,1.0,2.2367627517971793,113.0339067483584,38.0,0.002372810396654386,0.029376194126408496
2379,2.3520000000000003,1.0,0.742859630536581,112.39155134704357,39.0,0.0007880429219307148,0.04695367175042179
2440,2.3520000000000003,1.0,-0.11264048017299139,112.01803095489036,40.0,-0.00011949166366610327,0.05699259764546559
2501,2.3520000000000003,1.0,-0.7540367371345977,111.73134333903154,41.0,-0.0007998998588002954,0.06485141021862627
2562,2.3520000000000003,1.0,-0.16257912102842673,111.96448355753188,42.0,-0.00017246774533652583,0.05493661715885435
2623,2.3520000000000003,1.0,-1.4519838899229354,111.40692777117927,43.0,-0.0015402985707874588,0.07863731377576974
2684,2.3520000000000003,1.0,2.9764018917062542,113.28300859665387,44.0,0.003157436946581796,0.016615991416407173
