strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_mean,alpha_median,alpha_hpd_min,alpha_hpd_max,fold_change
delta,472.0,579.9851694915253,273.68220338983053,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.2394864385275283
delta,497.0,916.066398390342,276.9919517102616,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.558072266858706
delta,422.0,1162.9052132701422,276.8507109004739,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.7920613788374746
delta,616.0,1330.0097402597405,278.5779220779221,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.9504669355039516
delta,738.0,1464.6138211382113,276.73035230352303,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,1.0780639237199618
delta,316.0,1352.006329113924,276.9620253164557,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.9713184466208676
delta,643.0,1419.3172628304822,278.1850699844479,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,1.0351253710483277
delta,565.0,1705.3486725663718,274.06725663716816,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,1.3062668266363693
delta,736.0,1081.8559782608695,279.57608695652175,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.7152313286866779
delta,468.0,2620.786324786325,272.63247863247864,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,2.1740494864226068
delta,461.0,1589.8503253796093,266.7223427331887,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,1.196780983794326
delta,605.0,1295.7867768595042,276.0,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.9180255189495796
delta,468.0,1314.9893162393162,280.88034188034186,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.9362284305921732
delta,592.0,1336.081081081081,278.56418918918916,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.9562222201742244
delta,529.0,1697.6294896030247,271.2778827977316,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,1.2989494816407094
delta,578.0,1119.6089965397923,278.4550173010381,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.7510190358424794
delta,528.0,950.842803030303,280.3806818181818,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.5910383141291943
delta,762.0,1297.1627296587926,264.76115485564304,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.9193298436919706
delta,678.0,1293.165191740413,275.882005899705,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.915540405843314
delta,730.0,937.7301369863013,283.3164383561644,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.5786082549231323
delta,453.0,1351.9161147902867,266.9823399558499,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.9712329285896542
delta,791.0,1288.4285714285713,272.8078381795196,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.9110503600574104
delta,440.0,1150.0954545454545,267.5863636363636,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.7799184584863478
delta,519.0,1167.3410404624278,277.5761078998073,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.7962662899091779
delta,428.0,877.8995327102803,275.94392523364485,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.5218922559805976
delta,392.0,1754.9566326530612,269.8137755102041,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,1.3532923421875402
delta,723.0,1554.7178423236514,267.7952973720609,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,1.1634773945031691
delta,741.0,1451.4156545209178,266.25101214574903,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,1.0655528148490487
delta,463.0,947.1123110151187,254.4038876889849,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.5875020205592308
delta,712.0,1337.2092696629213,260.28792134831457,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.9572916785758048
delta,342.0,1185.8450292397658,248.35672514619884,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.8138070154396536
delta,541.0,1345.7134935304994,252.83918669131242,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.9653531975545449
delta,739.0,1362.9282814614344,258.7916102841678,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.9816718342439321
delta,846.0,1244.919621749409,250.0886524822695,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.8698063583654009
delta,690.0,1006.4521739130437,252.30434782608697,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.6437528246768434
delta,298.0,1210.3120805369126,279.4865771812081,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.8370003839888673
delta,302.0,1429.2682119205301,271.3543046357616,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,1.0445583029883876
delta,304.0,1316.5592105263158,272.0361842105263,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,0.9377166007986883
delta,636.0,1723.2059748427673,270.35377358490564,0.0,20190319,glycerol,37,O2,2,,,1934.1800304474948,1934.1800304474948,1954.5655498173198,1635.2170410667954,2295.051960264976,1.3231945302636328
